"GEO_ID","NAME","B19101_001E","B19101_001M","B19101_002E","B19101_002M","B19101_003E","B19101_003M","B19101_004E","B19101_004M","B19101_005E","B19101_005M","B19101_006E","B19101_006M","B19101_007E","B19101_007M","B19101_008E","B19101_008M","B19101_009E","B19101_009M","B19101_010E","B19101_010M","B19101_011E","B19101_011M","B19101_012E","B19101_012M","B19101_013E","B19101_013M","B19101_014E","B19101_014M","B19101_015E","B19101_015M","B19101_016E","B19101_016M","B19101_017E","B19101_017M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
"1500000US720019563001","Block Group 1, Census Tract 9563, Adjuntas Municipio, Puerto Rico","419","101","125","62","56","45","52","39","74","53","28","27","14","23","31","36","16","26","12","20","0","14","0","14","11","17","0","14","0","14","0","14","0","14"
"1500000US720019563002","Block Group 2, Census Tract 9563, Adjuntas Municipio, Puerto Rico","545","131","180","87","88","60","38","38","36","31","61","52","0","14","9","14","11","17","17","27","22","25","43","53","0","14","40","42","0","14","0","14","0","14"
"1500000US720019564001","Block Group 1, Census Tract 9564, Adjuntas Municipio, Puerto Rico","384","102","76","52","78","55","74","62","47","39","0","14","21","22","27","30","32","36","0","14","0","14","29","33","0","14","0","14","0","14","0","14","0","14"
"1500000US720019564002","Block Group 2, Census Tract 9564, Adjuntas Municipio, Puerto Rico","189","76","61","54","41","40","0","14","0","14","12","18","0","14","0","14","43","38","18","21","0","14","14","22","0","14","0","14","0","14","0","14","0","14"
"1500000US720019565001","Block Group 1, Census Tract 9565, Adjuntas Municipio, Puerto Rico","406","100","170","72","27","31","52","44","52","46","57","47","16","25","9","14","0","14","13","22","10","15","0","14","0","14","0","14","0","14","0","14","0","14"
"1500000US720019565002","Block Group 2, Census Tract 9565, Adjuntas Municipio, Puerto Rico","244","87","95","63","48","35","33","31","0","14","0","14","31","35","0","14","18","29","0","14","0","14","0","14","0","14","0","14","0","14","19","30","0","14"
"1500000US720019566001","Block Group 1, Census Tract 9566, Adjuntas Municipio, Puerto Rico","314","65","100","46","51","31","25","24","13","20","53","37","28","20","20","19","8","13","0","14","6","10","0","14","10","11","0","14","0","14","0","14","0","14"
"1500000US720019566002","Block Group 2, Census Tract 9566, Adjuntas Municipio, Puerto Rico","209","59","105","46","40","30","21","22","16","16","17","21","0","14","0","14","0","14","0","14","0","14","6","10","0","14","0","14","0","14","0","14","4","6"
"1500000US720019567001","Block Group 1, Census Tract 9567, Adjuntas Municipio, Puerto Rico","201","60","69","44","26","23","10","16","22","20","5","9","11","16","8","14","0","14","10","15","6","9","23","24","11","12","0","14","0","14","0","14","0","14"
"1500000US720019567002","Block Group 2, Census Tract 9567, Adjuntas Municipio, Puerto Rico","274","68","145","59","6","11","12","18","9","16","4","6","16","20","21","22","0","14","5","8","31","24","11","12","5","7","9","17","0","14","0","14","0","14"
