"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)"
"1500000US720019563001","Block Group 1, Census Tract 9563, Adjuntas Municipio, Puerto Rico","12417","3439","12306","4572","15905","10434","5238","3127","-","**","19052","8579","3362","2176"
"1500000US720019563002","Block Group 2, Census Tract 9563, Adjuntas Municipio, Puerto Rico","15247","4258","14597","5580","32422","24380","6164","5220","15977","5337","21618","19974","15117","8335"
"1500000US720019564001","Block Group 1, Census Tract 9564, Adjuntas Municipio, Puerto Rico","12926","7771","-","**","32311","7034","2969","2356","15556","13504","16667","15116","-","**"
"1500000US720019564002","Block Group 2, Census Tract 9564, Adjuntas Municipio, Puerto Rico","16887","10342","-","**","26569","4117","7880","5041","16190","9074","23276","7890","7083","5986"
"1500000US720019565001","Block Group 1, Census Tract 9565, Adjuntas Municipio, Puerto Rico","12872","3002","13681","2819","15904","1497","6413","5077","11493","7305","22813","4457","-","**"
"1500000US720019565002","Block Group 2, Census Tract 9565, Adjuntas Municipio, Puerto Rico","14671","2022","15208","5016","13875","3923","-","**","14527","2062","14905","3521","-","**"
"1500000US720019566001","Block Group 1, Census Tract 9566, Adjuntas Municipio, Puerto Rico","12303","8322","15107","4812","17011","3240","-","**","-","**","25511","10023","2,500-","***"
"1500000US720019566002","Block Group 2, Census Tract 9566, Adjuntas Municipio, Puerto Rico","8988","5225","12083","9547","25114","13251","-","**","5625","3053","-","**","4917","2486"
"1500000US720019567001","Block Group 1, Census Tract 9567, Adjuntas Municipio, Puerto Rico","11013","1470","10839","1669","-","**","10047","2986","18224","878","-","**","-","**"
"1500000US720019567002","Block Group 2, Census Tract 9567, Adjuntas Municipio, Puerto Rico","15321","4453","15250","8966","-","**","-","**","15938","11062","26161","18816","2,500-","***"
"1500000US720019568001","Block Group 1, Census Tract 9568, Adjuntas Municipio, Puerto Rico","16452","4982","12614","11154","17786","3081","5673","2922","18011","3943","20528","2558","5658","3909"
"1500000US720019568002","Block Group 2, Census Tract 9568, Adjuntas Municipio, Puerto Rico","14157","5285","15887","5113","-","**","8207","5121","9259","5431","23333","11138","7747","1979"
"1500000US720034301001","Block Group 1, Census Tract 4301, Aguada Municipio, Puerto Rico","9196","3393","9576","7605","-","**","7902","1533","-","**","11696","9031","3438","1335"
"1500000US720034301002","Block Group 2, Census Tract 4301, Aguada Municipio, Puerto Rico","12977","7536","12864","9785","23060","4131","6669","532","15208","12700","23365","15952","11190","10685"
"1500000US720034301003","Block Group 3, Census Tract 4301, Aguada Municipio, Puerto Rico","17524","13928","17854","8834","-","**","6936","1452","-","**","-","**","-","**"
"1500000US720034302001","Block Group 1, Census Tract 4302, Aguada Municipio, Puerto Rico","13600","5806","17161","13009","23615","11847","-","**","9679","6125","18911","16783","8569","435"
"1500000US720034302002","Block Group 2, Census Tract 4302, Aguada Municipio, Puerto Rico","6339","1184","-","**","-","**","-","**","-","**","-","**","-","**"
"1500000US720034302003","Block Group 3, Census Tract 4302, Aguada Municipio, Puerto Rico","14153","5624","-","**","-","**","-","**","-","**","-","**","-","**"
"1500000US720034302004","Block Group 4, Census Tract 4302, Aguada Municipio, Puerto Rico","9722","3808","11712","8538","16205","7272","-","**","6268","5341","-","**","-","**"
"1500000US720034303001","Block Group 1, Census Tract 4303, Aguada Municipio, Puerto Rico","13966","7806","14181","4550","16705","7183","6012","5035","-","**","-","**","-","**"
"1500000US720034303002","Block Group 2, Census Tract 4303, Aguada Municipio, Puerto Rico","8056","6546","8611","904","-","**","8299","3144","-","**","-","**","-","**"
"1500000US720034303003","Block Group 3, Census Tract 4303, Aguada Municipio, Puerto Rico","10076","3720","13750","1467","14849","1531","-","**","7704","1877","15380","6036","6808","1828"
"1500000US720034304011","Block Group 1, Census Tract 4304.01, Aguada Municipio, Puerto Rico","16189","4011","20870","7688","25656","5342","-","**","12059","3636","-","**","8487","4491"
"1500000US720034304012","Block Group 2, Census Tract 4304.01, Aguada Municipio, Puerto Rico","8222","2373","8844","3433","-","**","7797","3551","6875","4599","26129","20347","4328","1464"
"1500000US720034304013","Block Group 3, Census Tract 4304.01, Aguada Municipio, Puerto Rico","15583","2511","15711","4115","19572","4590","13961","674","-","**","16971","4989","-","**"
"1500000US720034304021","Block Group 1, Census Tract 4304.02, Aguada Municipio, Puerto Rico","12553","5272","9955","4791","11103","8246","9410","6249","18125","3842","18552","978","-","**"
"1500000US720034304022","Block Group 2, Census Tract 4304.02, Aguada Municipio, Puerto Rico","8364","4818","7180","7068","16458","6397","5959","1002","9695","3792","16406","7634","7107","3498"
"1500000US720034304023","Block Group 3, Census Tract 4304.02, Aguada Municipio, Puerto Rico","12340","6839","13229","8617","-","**","11250","2402","-","**","-","**","7554","3453"
"1500000US720034305011","Block Group 1, Census Tract 4305.01, Aguada Municipio, Puerto Rico","15682","2633","11863","3797","12123","2759","-","**","-","**","-","**","-","**"
"1500000US720034305012","Block Group 2, Census Tract 4305.01, Aguada Municipio, Puerto Rico","18277","8692","6984","5655","-","**","6442","403","19655","1167","19655","1167","-","**"
"1500000US720034305013","Block Group 3, Census Tract 4305.01, Aguada Municipio, Puerto Rico","18310","3742","25341","21805","31573","27923","12679","10578","17694","2265","17923","2366","-","**"
"1500000US720034305014","Block Group 4, Census Tract 4305.01, Aguada Municipio, Puerto Rico","17883","7161","17702","9485","20472","10871","-","**","18194","10026","25938","7502","8611","2565"
"1500000US720034305021","Block Group 1, Census Tract 4305.02, Aguada Municipio, Puerto Rico","10641","2037","10223","1851","16761","4566","8171","1783","13403","7267","16250","1559","4767","1408"
"1500000US720034305022","Block Group 2, Census Tract 4305.02, Aguada Municipio, Puerto Rico","17967","4779","18313","2209","30347","16218","10475","3064","-","**","38897","14469","7045","3597"
"1500000US720034306011","Block Group 1, Census Tract 4306.01, Aguada Municipio, Puerto Rico","15801","4781","17407","10019","31375","18778","7500","5778","-","**","25781","15901","6167","2040"
"1500000US720034306012","Block Group 2, Census Tract 4306.01, Aguada Municipio, Puerto Rico","11000","5217","7154","3786","21477","10501","6184","561","14085","4777","14634","9249","-","**"
"1500000US720034306013","Block Group 3, Census Tract 4306.01, Aguada Municipio, Puerto Rico","12893","4420","13043","4442","15893","3903","7250","3724","-","**","-","**","-","**"
"1500000US720034306014","Block Group 4, Census Tract 4306.01, Aguada Municipio, Puerto Rico","7205","3423","9000","7255","-","**","8000","4995","6811","2463","-","**","-","**"
"1500000US720034306021","Block Group 1, Census Tract 4306.02, Aguada Municipio, Puerto Rico","6550","835","6339","453","-","**","6042","664","-","**","-","**","-","**"
"1500000US720034306022","Block Group 2, Census Tract 4306.02, Aguada Municipio, Puerto Rico","17459","5772","34306","19420","44444","14210","16053","7437","12463","6826","17245","6094","8896","2312"
"1500000US720039900000","Block Group 0, Census Tract 9900, Aguada Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1500000US720054001001","Block Group 1, Census Tract 4001, Aguadilla Municipio, Puerto Rico","23509","8154","23443","2815","23443","2815","-","**","-","**","39130","21852","9255","1388"
"1500000US720054001002","Block Group 2, Census Tract 4001, Aguadilla Municipio, Puerto Rico","14063","9613","-","**","-","**","-","**","-","**","-","**","-","**"
"1500000US720054001003","Block Group 3, Census Tract 4001, Aguadilla Municipio, Puerto Rico","35962","23561","38695","12982","39099","21843","-","**","-","**","35801","25413","-","**"
"1500000US720054001004","Block Group 4, Census Tract 4001, Aguadilla Municipio, Puerto Rico","14375","12117","-","**","-","**","-","**","20203","18448","-","**","-","**"
"1500000US720054001005","Block Group 5, Census Tract 4001, Aguadilla Municipio, Puerto Rico","11250","9751","-","**","-","**","-","**","-","**","17440","10979","-","**"
"1500000US720054003001","Block Group 1, Census Tract 4003, Aguadilla Municipio, Puerto Rico","24500","10849","33542","4773","33796","6358","-","**","14028","9763","32250","18466","6852","2398"
"1500000US720054003002","Block Group 2, Census Tract 4003, Aguadilla Municipio, Puerto Rico","23100","6767","28047","12013","31204","14620","10444","2171","15221","14081","25694","12998","7599","3892"
