"Fact","Fact Note","Aguada Municipio, Puerto Rico","Value Note for Aguada Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","36,694",""
"Population estimates base, April 1, 2010,  (V2019)","","41,959",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-12.5%",""
"Population, Census, April 1, 2010","","41,959",""
"Persons under 5 years, percent","","3.4%",""
"Persons under 18 years, percent","","16.7%",""
"Persons 65 years and over, percent","","20.2%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","85.3%",""
"Black or African American alone, percent","(a)","2.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","9.0%",""
"Hispanic or Latino, percent","(b)","92.5%",""
"White alone, not Hispanic or Latino, percent","","6.7%",""
"Veterans, 2015-2019","","596",""
"Foreign born persons, percent, 2015-2019","","0.7%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","74.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$85,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$879",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$128",""
"Median gross rent, 2015-2019","","$399",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","12,830",""
"Persons per household, 2015-2019","","2.95",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","97.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.6%",""
"Households with a computer, percent, 2015-2019","","58.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","43.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","65.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","20.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","19.3%",""
"Persons  without health insurance, under age 65 years, percent","","7.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","39.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","32.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","13,848",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","15,029",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","22,537",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","13,219",""
"Total retail sales, 2012 ($1,000)","(c)","140,914",""
"Total retail sales per capita, 2012","(c)","$3,397",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","21.0",""
"Median household income (in 2019 dollars), 2015-2019","","$16,738",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,692",""
"Persons in poverty, percent","","49.6%",""
"Total employer establishments, 2018","","479",""
"Total employment, 2018","","2,700",""
"Total annual payroll, 2018 ($1,000)","","40,577",""
"Total employment, percent change, 2017-2018","","-0.8%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,360.1",""
"Land area in square miles, 2010","","30.85",""
"FIPS Code","","""72003""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
