"Fact","Fact Note","Aguadilla Municipio, Puerto Rico","Value Note for Aguadilla Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","50,265",""
"Population estimates base, April 1, 2010,  (V2019)","","60,949",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-17.5%",""
"Population, Census, April 1, 2010","","60,949",""
"Persons under 5 years, percent","","3.6%",""
"Persons under 18 years, percent","","18.2%",""
"Persons 65 years and over, percent","","22.5%",""
"Female persons, percent","","51.7%",""
"White alone, percent","","79.8%",""
"Black or African American alone, percent","(a)","3.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent","(b)","97.6%",""
"White alone, not Hispanic or Latino, percent","","1.6%",""
"Veterans, 2015-2019","","2,204",""
"Foreign born persons, percent, 2015-2019","","1.1%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","59.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$118,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$813",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$143",""
"Median gross rent, 2015-2019","","$443",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","21,635",""
"Persons per household, 2015-2019","","2.37",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","89.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.6%",""
"Households with a computer, percent, 2015-2019","","71.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","68.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","73.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","23.9%",""
"With a disability, under age 65 years, percent, 2015-2019","","16.0%",""
"Persons  without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","39.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","35.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","46,288",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","125,070",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,017,739",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","63,639",""
"Total retail sales, 2012 ($1,000)","(c)","323,837",""
"Total retail sales per capita, 2012","(c)","$5,452",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","20.8",""
"Median household income (in 2019 dollars), 2015-2019","","$16,269",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,298",""
"Persons in poverty, percent","","51.5%",""
"Total employer establishments, 2018","","811",""
"Total employment, 2018","","13,158",""
"Total annual payroll, 2018 ($1,000)","","368,800",""
"Total employment, percent change, 2017-2018","","-4.4%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,668.5",""
"Land area in square miles, 2010","","36.53",""
"FIPS Code","","""72005""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
