"Fact","Fact Note","Bayamón Municipio, Puerto Rico","Value Note for Bayamón Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","169,269",""
"Population estimates base, April 1, 2010,  (V2019)","","208,108",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-18.7%",""
"Population, Census, April 1, 2010","","208,116",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","16.8%",""
"Persons 65 years and over, percent","","22.5%",""
"Female persons, percent","","53.1%",""
"White alone, percent","","68.8%",""
"Black or African American alone, percent","(a)","8.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","16.2%",""
"Hispanic or Latino, percent","(b)","98.9%",""
"White alone, not Hispanic or Latino, percent","","0.7%",""
"Veterans, 2015-2019","","5,516",""
"Foreign born persons, percent, 2015-2019","","3.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","68.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$131,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$936",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$187",""
"Median gross rent, 2015-2019","","$573",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","67,476",""
"Persons per household, 2015-2019","","2.55",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","90.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","93.4%",""
"Households with a computer, percent, 2015-2019","","81.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","74.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","28.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","19.3%",""
"Persons  without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","49.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","45.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","184,684",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","552,797",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","814,360",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","830,060",""
"Total retail sales, 2012 ($1,000)","(c)","2,199,925",""
"Total retail sales per capita, 2012","(c)","$10,873",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","33.8",""
"Median household income (in 2019 dollars), 2015-2019","","$26,420",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$14,782",""
"Persons in poverty, percent","","34.6%",""
"Total employer establishments, 2018","","2,885",""
"Total employment, 2018","","40,991",""
"Total annual payroll, 2018 ($1,000)","","980,599",""
"Total employment, percent change, 2017-2018","","-4.5%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","4,695.3",""
"Land area in square miles, 2010","","44.32",""
"FIPS Code","","""72021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
