"Fact","Fact Note","Dorado Municipio, Puerto Rico","Value Note for Dorado Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","36,141",""
"Population estimates base, April 1, 2010,  (V2019)","","38,165",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-5.3%",""
"Population, Census, April 1, 2010","","38,165",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","18.1%",""
"Female persons, percent","","52.6%",""
"White alone, percent","","77.8%",""
"Black or African American alone, percent","(a)","12.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.1%",""
"Hispanic or Latino, percent","(b)","97.8%",""
"White alone, not Hispanic or Latino, percent","","2.1%",""
"Veterans, 2015-2019","","1,075",""
"Foreign born persons, percent, 2015-2019","","1.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","77.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$135,500",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,234",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$155",""
"Median gross rent, 2015-2019","","$653",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","11,602",""
"Persons per household, 2015-2019","","3.17",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","98.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","94.3%",""
"Households with a computer, percent, 2015-2019","","83.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","51.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","30.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.3%",""
"Persons  without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","49.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","42.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","63,425",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","19,732",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","315,080",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","266,443",""
"Total retail sales, 2012 ($1,000)","(c)","206,536",""
"Total retail sales per capita, 2012","(c)","$5,346",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","33.9",""
"Median household income (in 2019 dollars), 2015-2019","","$30,732",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$16,876",""
"Persons in poverty, percent","","32.7%",""
"Total employer establishments, 2018","","545",""
"Total employment, 2018","","7,139",""
"Total annual payroll, 2018 ($1,000)","","211,161",""
"Total employment, percent change, 2017-2018","","-2.2%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,653.0",""
"Land area in square miles, 2010","","23.09",""
"FIPS Code","","""72051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
