"Fact","Fact Note","Mayagüez Municipio, Puerto Rico","Value Note for Mayagüez Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","71,530",""
"Population estimates base, April 1, 2010,  (V2019)","","89,080",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-19.7%",""
"Population, Census, April 1, 2010","","89,080",""
"Persons under 5 years, percent","","3.4%",""
"Persons under 18 years, percent","","16.6%",""
"Persons 65 years and over, percent","","24.8%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","27.2%",""
"Black or African American alone, percent","(a)","3.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent","(b)","99.2%",""
"White alone, not Hispanic or Latino, percent","","0.5%",""
"Veterans, 2015-2019","","1,627",""
"Foreign born persons, percent, 2015-2019","","2.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","57.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$96,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$786",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$141",""
"Median gross rent, 2015-2019","","$418",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","29,682",""
"Persons per household, 2015-2019","","2.50",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","92.9%",""
"Households with a computer, percent, 2015-2019","","71.7%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","64.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","71.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","26.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","17.0%",""
"Persons  without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","39.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","34.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","128,047",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","392,289",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","656,122",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","2,160,382",""
"Total retail sales, 2012 ($1,000)","(c)","1,814,857",""
"Total retail sales per capita, 2012","(c)","$21,095",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","22.7",""
"Median household income (in 2019 dollars), 2015-2019","","$14,236",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$10,994",""
"Persons in poverty, percent","","53.9%",""
"Total employer establishments, 2018","","1,499",""
"Total employment, 2018","","20,540",""
"Total annual payroll, 2018 ($1,000)","","446,788",""
"Total employment, percent change, 2017-2018","","-3.5%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,147.3",""
"Land area in square miles, 2010","","77.65",""
"FIPS Code","","""72097""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
