"Fact","Fact Note","Rincón Municipio, Puerto Rico","Value Note for Rincón Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","13,656",""
"Population estimates base, April 1, 2010,  (V2019)","","15,200",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-10.2%",""
"Population, Census, April 1, 2010","","15,200",""
"Persons under 5 years, percent","","3.1%",""
"Persons under 18 years, percent","","15.7%",""
"Persons 65 years and over, percent","","25.5%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","85.9%",""
"Black or African American alone, percent","(a)","0.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","9.6%",""
"Hispanic or Latino, percent","(b)","88.3%",""
"White alone, not Hispanic or Latino, percent","","9.9%",""
"Veterans, 2015-2019","","374",""
"Foreign born persons, percent, 2015-2019","","1.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","71.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$122,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$938",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$131",""
"Median gross rent, 2015-2019","","$450",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","5,018",""
"Persons per household, 2015-2019","","2.80",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","94.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.8%",""
"Households with a computer, percent, 2015-2019","","63.6%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","47.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","67.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","23.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","15.1%",""
"Persons  without health insurance, under age 65 years, percent","","5.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","42.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","35.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","18,956",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","19,679",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","37,911",""
"Total retail sales per capita, 2012","(c)","$2,503",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","20.1",""
"Median household income (in 2019 dollars), 2015-2019","","$19,907",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$12,507",""
"Persons in poverty, percent","","41.8%",""
"Total employer establishments, 2018","","169",""
"Total employment, 2018","","1,263",""
"Total annual payroll, 2018 ($1,000)","","22,342",""
"Total employment, percent change, 2017-2018","","-1.8%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,063.8",""
"Land area in square miles, 2010","","14.29",""
"FIPS Code","","""72117""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
