"Fact","Fact Note","Salinas Municipio, Puerto Rico","Value Note for Salinas Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","27,128",""
"Population estimates base, April 1, 2010,  (V2019)","","31,078",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-12.7%",""
"Population, Census, April 1, 2010","","31,078",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","51.7%",""
"White alone, percent","","57.4%",""
"Black or African American alone, percent","(a)","38.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.7%",""
"Hispanic or Latino, percent","(b)","99.7%",""
"White alone, not Hispanic or Latino, percent","","0.1%",""
"Veterans, 2015-2019","","693",""
"Foreign born persons, percent, 2015-2019","","0.5%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","80.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$83,100",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$690",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$141",""
"Median gross rent, 2015-2019","","$430",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","10,036",""
"Persons per household, 2015-2019","","2.79",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","93.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.6%",""
"Households with a computer, percent, 2015-2019","","51.7%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","61.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","73.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","17.5%",""
"With a disability, under age 65 years, percent, 2015-2019","","18.0%",""
"Persons  without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","36.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","31.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","13,120",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","6,759",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","35,819",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","77,090",""
"Total retail sales per capita, 2012","(c)","$2,508",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.0",""
"Median household income (in 2019 dollars), 2015-2019","","$18,189",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,557",""
"Persons in poverty, percent","","49.9%",""
"Total employer establishments, 2018","","160",""
"Total employment, 2018","","1,483",""
"Total annual payroll, 2018 ($1,000)","","32,172",""
"Total employment, percent change, 2017-2018","","-14.3%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","448.0",""
"Land area in square miles, 2010","","69.37",""
"FIPS Code","","""72123""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
