"Fact","Fact Note","San Juan Municipio, Puerto Rico","Value Note for San Juan Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","318,441",""
"Population estimates base, April 1, 2010,  (V2019)","","395,475",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-19.5%",""
"Population, Census, April 1, 2010","","395,326",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","16.8%",""
"Persons 65 years and over, percent","","23.5%",""
"Female persons, percent","","54.3%",""
"White alone, percent","","65.3%",""
"Black or African American alone, percent","(a)","13.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.3%",""
"Hispanic or Latino, percent","(b)","97.9%",""
"White alone, not Hispanic or Latino, percent","","1.5%",""
"Veterans, 2015-2019","","8,438",""
"Foreign born persons, percent, 2015-2019","","11.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","53.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$153,500",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,094",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$206",""
"Median gross rent, 2015-2019","","$484",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","142,699",""
"Persons per household, 2015-2019","","2.30",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","90.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","92.5%",""
"Households with a computer, percent, 2015-2019","","65.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","55.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","81.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","37.3%",""
"With a disability, under age 65 years, percent, 2015-2019","","12.0%",""
"Persons  without health insurance, under age 65 years, percent","","11.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","51.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","46.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,347,047",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,673,807",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,073,966",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","4,854,072",""
"Total retail sales, 2012 ($1,000)","(c)","4,320,634",""
"Total retail sales per capita, 2012","(c)","$11,302",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.9",""
"Median household income (in 2019 dollars), 2015-2019","","$22,710",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$19,361",""
"Persons in poverty, percent","","41.0%",""
"Total employer establishments, 2018","","10,787",""
"Total employment, 2018","","193,924",""
"Total annual payroll, 2018 ($1,000)","","5,964,066",""
"Total employment, percent change, 2017-2018","","0.1%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","8,262.3",""
"Land area in square miles, 2010","","47.85",""
"FIPS Code","","""72127""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
