"Fact","Fact Note","Vega Baja Municipio, Puerto Rico","Value Note for Vega Baja Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","50,023",""
"Population estimates base, April 1, 2010,  (V2019)","","59,662",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-16.2%",""
"Population, Census, April 1, 2010","","59,662",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","18.1%",""
"Persons 65 years and over, percent","","21.1%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","83.2%",""
"Black or African American alone, percent","(a)","5.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.0%",""
"Hispanic or Latino, percent","(b)","96.7%",""
"White alone, not Hispanic or Latino, percent","","3.0%",""
"Veterans, 2015-2019","","1,010",""
"Foreign born persons, percent, 2015-2019","","0.7%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","79.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$106,600",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$856",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$154",""
"Median gross rent, 2015-2019","","$496",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","18,721",""
"Persons per household, 2015-2019","","2.77",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","95.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","94.4%",""
"Households with a computer, percent, 2015-2019","","68.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","44.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","71.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","21.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","15.3%",""
"Persons  without health insurance, under age 65 years, percent","","11.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","41.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","38.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","24,329",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","46,601",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","235,647",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","484,487",""
"Total retail sales, 2012 ($1,000)","(c)","193,145",""
"Total retail sales per capita, 2012","(c)","$3,310",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","30.2",""
"Median household income (in 2019 dollars), 2015-2019","","$19,617",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,116",""
"Persons in poverty, percent","","45.2%",""
"Total employer establishments, 2018","","386",""
"Total employment, 2018","","5,426",""
"Total annual payroll, 2018 ($1,000)","","154,995",""
"Total employment, percent change, 2017-2018","","-1.7%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,301.1",""
"Land area in square miles, 2010","","45.86",""
"FIPS Code","","""72145""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
