censusid,blockid,blockgroupname,total_population_edu,high_school_diploma,ged_credential,bachelors_degree,masters_degree,professional_degree,doctorate_degree,high_school_diploma_rate,ged_credential_rate,bachelors_degree_rate,masters_degree_rate,professional_degree_rate,doctorate_degree_rate,total_population_employ,labor_force_total,civilian_labor_force,employed_labor_force,unemployed_labor_force,armed_forces_labor_force,not_labor_force_total,labor_force_rate,civilian_labor_rate,employed_labor_rate,unemployed_labor_rate,armed_forces_labor_rate,not_labor_force_rate,total_population_income,income_less_10k,income_10k_15k,income_15k_20k,income_20k_25k,income_25k_30k,income_30k_35k,income_35k_40k,income_40k_45k,income_45k_50k,income_50k_60k,income_60k_75k,income_75k_100k,income_100k_125k,income_125k_150k,income_150k_200k,income_200k_more,median_earnings_total,median_earnings_male,median_earnings_male_fulltime,median_earnings_male_other,median_earnings_female,median_earnings_female_fulltime,median_earnings_female_other,total_households_poverty,below_poverty,below_poverty_family,below_poverty_family_married,below_poverty_family_other,below_poverty_family_other_male_no_spouse,below_poverty_family_other_female_no_spouse,below_poverty_nonfamily,below_poverty_nonfamily_male,below_poverty_nonfamily_female,above_poverty,above_poverty_family,above_poverty_family_married,above_poverty_family_other,above_poverty_family_other_male_no_spouse,above_poverty_family_other_female_no_spouse,above_poverty_nonfamily,above_poverty_nonfamily_male,above_poverty_nonfamily_female,below_poverty_rate,below_poverty_family_rate,below_poverty_family_married_rate,below_poverty_family_other_rate,below_poverty_family_other_male_no_spouse_rate,below_poverty_family_other_female_no_spouse_rate,below_poverty_nonfamily_rate,below_poverty_nonfamily_male_rate,below_poverty_nonfamily_female_rate,above_poverty_rate,above_poverty_family_rate,above_poverty_family_married_rate,above_poverty_family_other_rate,above_poverty_family_other_male_no_spouse_rate,above_poverty_family_other_female_no_spouse_rate,above_poverty_nonfamily_rate,above_poverty_nonfamily_male_rate,above_poverty_nonfamily_female_rate,total_population_assist,with_assistance,without_assistance,with_assistance_rate,without_assistance_rate
1500000US720019563001,720019563001,"Block Group 1, Census Tract 9563, Adjuntas Municipio, Puerto Rico",1163,302,21,228,0,17,0,0.259673258813414,0.0180567497850387,0.196044711951849,0,0.0146173688736028,0,1510,616,616,399,217,0,894,0.40794701986755,0.40794701986755,0.264238410596027,0.143708609271523,0,0.59205298013245,419,125,56,52,74,28,14,31,16,12,0,0,11,0,0,0,0,12417,12306,15905,5238,,19052,3362,601,345,240,119,121,21,100,105,33,72,256,179,134,45,0,45,77,47,30,0.574043261231281,0.399334442595674,0.198003327787022,0.201331114808652,0.0349417637271215,0.166389351081531,0.174708818635607,0.0549084858569052,0.119800332778702,0.425956738768719,0.29783693843594,0.222961730449251,0.0748752079866889,0,0.0748752079866889,0.128119800332779,0.0782029950083195,0.0499168053244592,601,311,290,0.517470881863561,0.482529118136439
1500000US720019563002,720019563002,"Block Group 2, Census Tract 9563, Adjuntas Municipio, Puerto Rico",1582,367,27,343,32,0,0,0.231984829329962,0.0170670037926675,0.216814159292035,0.0202275600505689,0,0,1897,825,825,571,254,0,1072,0.434897206114918,0.434897206114918,0.301001581444386,0.133895624670532,0,0.565102793885082,545,180,88,38,36,61,0,9,11,17,22,43,0,40,0,0,0,15247,14597,32422,6164,15977,21618,15117,712,417,297,205,92,33,59,120,85,35,295,248,188,60,15,45,47,31,16,0.585674157303371,0.417134831460674,0.287921348314607,0.129213483146067,0.0463483146067416,0.0828651685393258,0.168539325842697,0.11938202247191,0.0491573033707865,0.414325842696629,0.348314606741573,0.264044943820225,0.0842696629213483,0.0210674157303371,0.0632022471910112,0.0660112359550562,0.0435393258426966,0.0224719101123596,712,377,335,0.529494382022472,0.470505617977528
1500000US720019564001,720019564001,"Block Group 1, Census Tract 9564, Adjuntas Municipio, Puerto Rico",1167,281,20,145,14,0,0,0.240788346186804,0.0171379605826907,0.124250214224507,0.0119965724078835,0,0,1400,449,449,329,120,0,951,0.320714285714286,0.320714285714286,0.235,0.0857142857142857,0,0.679285714285714,384,76,78,74,47,0,21,27,32,0,0,29,0,0,0,0,0,12926,,32311,2969,15556,16667,,524,348,253,174,79,14,65,95,22,73,176,131,123,8,0,8,45,27,18,0.66412213740458,0.482824427480916,0.33206106870229,0.150763358778626,0.0267175572519084,0.124045801526718,0.181297709923664,0.0419847328244275,0.139312977099237,0.33587786259542,0.25,0.234732824427481,0.0152671755725191,0,0.0152671755725191,0.0858778625954199,0.0515267175572519,0.0343511450381679,524,236,288,0.450381679389313,0.549618320610687
1500000US720019564002,720019564002,"Block Group 2, Census Tract 9564, Adjuntas Municipio, Puerto Rico",725,141,0,161,29,0,0,0.19448275862069,0,0.222068965517241,0.04,0,0,757,298,298,282,16,0,459,0.393659180977543,0.393659180977543,0.372523117569353,0.0211360634081902,0,0.606340819022457,189,61,41,0,0,12,0,0,43,18,0,14,0,0,0,0,0,16887,,26569,7880,16190,23276,7083,367,226,102,59,43,0,43,124,45,79,141,87,87,0,0,0,54,16,38,0.615803814713896,0.277929155313351,0.160762942779292,0.11716621253406,0,0.11716621253406,0.337874659400545,0.122615803814714,0.215258855585831,0.384196185286104,0.237057220708447,0.237057220708447,0,0,0,0.147138964577657,0.0435967302452316,0.103542234332425,367,199,168,0.542234332425068,0.457765667574932
1500000US720019565001,720019565001,"Block Group 1, Census Tract 9565, Adjuntas Municipio, Puerto Rico",1153,272,7,130,10,0,0,0.235906331309627,0.00607111882046834,0.112749349522984,0.00867302688638335,0,0,1355,662,662,319,343,0,693,0.488560885608856,0.488560885608856,0.235424354243542,0.253136531365314,0,0.511439114391144,406,170,27,52,52,57,16,9,0,13,10,0,0,0,0,0,0,12872,13681,15904,6413,11493,22813,,484,319,241,126,115,0,115,78,38,40,165,165,102,63,27,36,0,0,0,0.659090909090909,0.497933884297521,0.260330578512397,0.237603305785124,0,0.237603305785124,0.161157024793388,0.0785123966942149,0.0826446280991736,0.340909090909091,0.340909090909091,0.210743801652893,0.130165289256198,0.0557851239669422,0.0743801652892562,0,0,0,484,275,209,0.568181818181818,0.431818181818182
1500000US720019565002,720019565002,"Block Group 2, Census Tract 9565, Adjuntas Municipio, Puerto Rico",742,133,0,66,0,0,0,0.179245283018868,0,0.0889487870619946,0,0,0,892,268,268,220,48,0,624,0.300448430493274,0.300448430493274,0.246636771300448,0.0538116591928251,0,0.699551569506727,244,95,48,33,0,0,31,0,18,0,0,0,0,0,0,19,0,14671,15208,13875,,14527,14905,,315,198,170,77,93,40,53,28,11,17,117,74,29,45,19,26,43,43,0,0.628571428571429,0.53968253968254,0.244444444444444,0.295238095238095,0.126984126984127,0.168253968253968,0.0888888888888889,0.0349206349206349,0.053968253968254,0.371428571428571,0.234920634920635,0.0920634920634921,0.142857142857143,0.0603174603174603,0.0825396825396825,0.136507936507937,0.136507936507937,0,315,174,141,0.552380952380952,0.447619047619048
1500000US720019566001,720019566001,"Block Group 1, Census Tract 9566, Adjuntas Municipio, Puerto Rico",946,183,18,151,18,9,23,0.193446088794926,0.0190274841437632,0.159619450317125,0.0190274841437632,0.00951374207188161,0.0243128964059197,1187,441,441,218,223,0,746,0.371524852569503,0.371524852569503,0.183656276326875,0.187868576242628,0,0.628475147430497,314,100,51,25,13,53,28,20,8,0,6,0,10,0,0,0,0,12303,15107,17011,,,25511,"2,500-",446,268,185,55,130,17,113,83,31,52,178,129,81,48,5,43,49,6,43,0.600896860986547,0.414798206278027,0.123318385650224,0.291479820627803,0.0381165919282511,0.253363228699552,0.18609865470852,0.0695067264573991,0.116591928251121,0.399103139013453,0.289237668161435,0.181614349775785,0.10762331838565,0.0112107623318386,0.0964125560538117,0.109865470852018,0.0134529147982063,0.0964125560538117,446,286,160,0.641255605381166,0.358744394618834
1500000US720019566002,720019566002,"Block Group 2, Census Tract 9566, Adjuntas Municipio, Puerto Rico",614,138,10,53,0,0,0,0.224755700325733,0.0162866449511401,0.0863192182410423,0,0,0,679,230,230,148,82,0,449,0.338733431516937,0.338733431516937,0.217967599410898,0.120765832106038,0,0.661266568483063,209,105,40,21,16,17,0,0,0,0,0,6,0,0,0,0,4,8988,12083,25114,,5625,,4917,288,219,157,76,81,0,81,62,11,51,69,52,30,22,10,12,17,10,7,0.760416666666667,0.545138888888889,0.263888888888889,0.28125,0,0.28125,0.215277777777778,0.0381944444444444,0.177083333333333,0.239583333333333,0.180555555555556,0.104166666666667,0.0763888888888889,0.0347222222222222,0.0416666666666667,0.0590277777777778,0.0347222222222222,0.0243055555555556,288,184,104,0.638888888888889,0.361111111111111
1500000US720019567001,720019567001,"Block Group 1, Census Tract 9567, Adjuntas Municipio, Puerto Rico",656,170,28,96,10,0,15,0.259146341463415,0.0426829268292683,0.146341463414634,0.0152439024390244,0,0.0228658536585366,686,273,273,167,106,0,413,0.397959183673469,0.397959183673469,0.243440233236152,0.154518950437318,0,0.602040816326531,201,69,26,10,22,5,11,8,0,10,6,23,11,0,0,0,0,11013,10839,,10047,18224,,,266,123,99,42,57,23,34,24,5,19,143,102,62,40,36,4,41,41,0,0.462406015037594,0.37218045112782,0.157894736842105,0.214285714285714,0.0864661654135338,0.12781954887218,0.0902255639097744,0.018796992481203,0.0714285714285714,0.537593984962406,0.383458646616541,0.233082706766917,0.150375939849624,0.135338345864662,0.0150375939849624,0.154135338345865,0.154135338345865,0,266,143,123,0.537593984962406,0.462406015037594
1500000US720019567002,720019567002,"Block Group 2, Census Tract 9567, Adjuntas Municipio, Puerto Rico",721,165,0,93,48,4,8,0.228848821081831,0,0.128987517337032,0.0665742024965326,0.00554785020804438,0.0110957004160888,939,461,461,243,218,0,478,0.490947816826411,0.490947816826411,0.258785942492013,0.232161874334398,0,0.509052183173589,274,145,6,12,9,4,16,21,0,5,31,11,5,9,0,0,0,15321,15250,,,15938,26161,"2,500-",390,265,168,45,123,13,110,97,17,80,125,106,71,35,5,30,19,4,15,0.67948717948718,0.430769230769231,0.115384615384615,0.315384615384615,0.0333333333333333,0.282051282051282,0.248717948717949,0.0435897435897436,0.205128205128205,0.320512820512821,0.271794871794872,0.182051282051282,0.0897435897435897,0.0128205128205128,0.0769230769230769,0.0487179487179487,0.0102564102564103,0.0384615384615385,390,204,186,0.523076923076923,0.476923076923077
