"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"1500000US720019563001","Block Group 1, Census Tract 9563, Adjuntas Municipio, Puerto Rico","1163","235","7","11","0","14","0","14","0","14","14","24","74","68","15","25","0","14","44","46","26","29","15","25","22","25","15","24","8","12","0","14","302","118","21","34","37","42","148","97","170","102","228","104","0","14","17","28","0","14"
"1500000US720019563002","Block Group 2, Census Tract 9563, Adjuntas Municipio, Puerto Rico","1582","334","44","39","0","14","0","14","28","33","30","46","49","58","0","14","21","23","188","101","53","49","49","35","115","73","12","19","40","40","0","14","367","158","27","29","12","21","96","85","76","58","343","135","32","50","0","14","0","14"
"1500000US720019564001","Block Group 1, Census Tract 9564, Adjuntas Municipio, Puerto Rico","1167","327","46","51","0","14","0","14","0","14","35","44","88","76","15","16","7","11","114","93","40","63","16","26","51","46","58","47","76","75","8","13","281","122","20","31","8","12","56","56","89","79","145","107","14","23","0","14","0","14"
"1500000US720019564002","Block Group 2, Census Tract 9564, Adjuntas Municipio, Puerto Rico","725","202","34","40","0","14","0","14","0","14","0","14","40","37","0","14","34","41","44","45","0","14","0","14","58","56","38","37","0","14","0","14","141","68","0","14","0","14","55","47","91","63","161","111","29","32","0","14","0","14"
"1500000US720019565001","Block Group 1, Census Tract 9565, Adjuntas Municipio, Puerto Rico","1153","313","45","42","0","14","0","14","9","16","42","66","137","125","45","43","76","81","11","19","13","21","0","14","94","69","0","14","8","12","22","36","272","128","7","11","24","34","109","79","99","71","130","83","10","17","0","14","0","14"
"1500000US720019565002","Block Group 2, Census Tract 9565, Adjuntas Municipio, Puerto Rico","742","255","53","48","0","14","0","14","0","14","61","69","0","14","24","31","0","14","57","42","29","32","60","57","124","81","0","14","29","33","0","14","133","94","0","14","0","14","33","37","73","69","66","53","0","14","0","14","0","14"
"1500000US720019566001","Block Group 1, Census Tract 9566, Adjuntas Municipio, Puerto Rico","946","188","82","50","0","14","0","14","0","14","0","14","15","19","9","11","19","18","36","24","0","14","66","57","49","27","26","24","12","18","45","46","183","75","18","23","17","18","96","52","72","40","151","74","18","14","9","14","23","24"
"1500000US720019566002","Block Group 2, Census Tract 9566, Adjuntas Municipio, Puerto Rico","614","131","12","15","0","14","0","14","9","14","8","12","23","24","6","10","0","14","33","27","16","19","39","35","5","7","37","41","33","26","4","6","138","55","10","12","54","44","98","52","36","30","53","38","0","14","0","14","0","14"
"1500000US720019567001","Block Group 1, Census Tract 9567, Adjuntas Municipio, Puerto Rico","656","176","93","56","0","14","0","14","0","14","0","14","9","14","0","14","0","14","4","6","7","11","5","10","27","25","0","14","10","11","6","10","170","103","28","22","5","9","91","54","80","55","96","47","10","16","0","14","15","18"
