"GEO_ID","NAME","B17017_001E","B17017_001M","B17017_002E","B17017_002M","B17017_003E","B17017_003M","B17017_004E","B17017_004M","B17017_005E","B17017_005M","B17017_006E","B17017_006M","B17017_007E","B17017_007M","B17017_008E","B17017_008M","B17017_009E","B17017_009M","B17017_010E","B17017_010M","B17017_011E","B17017_011M","B17017_012E","B17017_012M","B17017_013E","B17017_013M","B17017_014E","B17017_014M","B17017_015E","B17017_015M","B17017_016E","B17017_016M","B17017_017E","B17017_017M","B17017_018E","B17017_018M","B17017_019E","B17017_019M","B17017_020E","B17017_020M","B17017_021E","B17017_021M","B17017_022E","B17017_022M","B17017_023E","B17017_023M","B17017_024E","B17017_024M","B17017_025E","B17017_025M","B17017_026E","B17017_026M","B17017_027E","B17017_027M","B17017_028E","B17017_028M","B17017_029E","B17017_029M","B17017_030E","B17017_030M","B17017_031E","B17017_031M","B17017_032E","B17017_032M","B17017_033E","B17017_033M","B17017_034E","B17017_034M","B17017_035E","B17017_035M","B17017_036E","B17017_036M","B17017_037E","B17017_037M","B17017_038E","B17017_038M","B17017_039E","B17017_039M","B17017_040E","B17017_040M","B17017_041E","B17017_041M","B17017_042E","B17017_042M","B17017_043E","B17017_043M","B17017_044E","B17017_044M","B17017_045E","B17017_045M","B17017_046E","B17017_046M","B17017_047E","B17017_047M","B17017_048E","B17017_048M","B17017_049E","B17017_049M","B17017_050E","B17017_050M","B17017_051E","B17017_051M","B17017_052E","B17017_052M","B17017_053E","B17017_053M","B17017_054E","B17017_054M","B17017_055E","B17017_055M","B17017_056E","B17017_056M","B17017_057E","B17017_057M","B17017_058E","B17017_058M","B17017_059E","B17017_059M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Male householder:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households:!!Female householder:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Male householder, no spouse present:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Male householder:!!Householder 65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder under 25 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder under 25 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder 25 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder 25 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder 45 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder 45 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder 65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households:!!Female householder:!!Householder 65 years and over"
"1500000US720019563001","Block Group 1, Census Tract 9563, Adjuntas Municipio, Puerto Rico","601","103","345","93","240","84","119","65","0","14","20","31","74","56","25","27","121","57","21","25","10","16","0","14","0","14","11","19","100","53","0","14","54","50","19","30","27","24","105","59","33","38","0","14","0","14","0","14","33","38","72","52","0","14","0","14","24","39","48","37","256","91","179","77","134","65","0","14","0","14","116","63","18","23","45","44","0","14","0","14","0","14","0","14","0","14","45","44","0","14","0","14","38","42","7","11","77","55","47","45","0","14","38","42","0","14","9","14","30","33","0","14","0","14","30","33","0","14"
"1500000US720019563002","Block Group 2, Census Tract 9563, Adjuntas Municipio, Puerto Rico","712","132","417","121","297","110","205","89","0","14","36","42","118","71","51","43","92","59","33","36","0","14","17","27","16","24","0","14","59","45","0","14","15","26","30","33","14","16","120","75","85","60","0","14","17","27","40","45","28","32","35","34","12","19","0","14","0","14","23","29","295","96","248","86","188","76","0","14","53","47","78","52","57","42","60","59","15","23","0","14","15","23","0","14","0","14","45","54","0","14","32","50","13","21","0","14","47","43","31","34","0","14","0","14","31","34","0","14","16","26","0","14","0","14","16","26","0","14"
"1500000US720019564001","Block Group 1, Census Tract 9564, Adjuntas Municipio, Puerto Rico","524","114","348","104","253","98","174","78","0","14","38","41","85","64","51","39","79","64","14","23","0","14","14","23","0","14","0","14","65","60","11","18","41","52","13","21","0","14","95","60","22","34","0","14","0","14","22","34","0","14","73","52","0","14","0","14","21","25","52","44","176","80","131","67","123","65","0","14","0","14","88","60","35","32","8","12","0","14","0","14","0","14","0","14","0","14","8","12","0","14","0","14","0","14","8","12","45","52","27","44","0","14","0","14","27","44","0","14","18","27","0","14","0","14","18","27","0","14"
"1500000US720019564002","Block Group 2, Census Tract 9564, Adjuntas Municipio, Puerto Rico","367","83","226","73","102","66","59","39","0","14","0","14","29","34","30","28","43","52","0","14","0","14","0","14","0","14","0","14","43","52","0","14","43","52","0","14","0","14","124","54","45","41","0","14","0","14","33","38","12","18","79","41","0","14","0","14","12","20","67","36","141","62","87","54","87","54","0","14","30","32","22","26","35","32","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","54","43","16","24","0","14","0","14","16","24","0","14","38","35","0","14","0","14","31","34","7","11"
"1500000US720019565001","Block Group 1, Census Tract 9565, Adjuntas Municipio, Puerto Rico","484","103","319","97","241","91","126","79","0","14","61","58","38","43","27","30","115","53","0","14","0","14","0","14","0","14","0","14","115","53","11","16","28","31","22","25","54","42","78","54","38","40","0","14","11","16","27","45","0","14","40","38","0","14","0","14","27","33","13","21","165","73","165","73","102","63","0","14","26","32","15","24","61","46","63","45","27","29","0","14","0","14","27","29","0","14","36","34","0","14","14","23","0","14","22","24","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"1500000US720019565002","Block Group 2, Census Tract 9565, Adjuntas Municipio, Puerto Rico","315","87","198","79","170","78","77","47","0","14","0","14","13","20","64","43","93","65","40","40","13","21","17","29","10","15","0","14","53","51","0","14","45","50","8","12","0","14","28","30","11","18","0","14","0","14","11","18","0","14","17","26","0","14","0","14","17","26","0","14","117","67","74","57","29","34","0","14","0","14","18","29","11","17","45","45","19","30","0","14","19","30","0","14","0","14","26","33","0","14","20","32","0","14","6","10","43","40","43","40","0","14","0","14","30","33","13","22","0","14","0","14","0","14","0","14","0","14"
"1500000US720019566001","Block Group 1, Census Tract 9566, Adjuntas Municipio, Puerto Rico","446","70","268","69","185","58","55","33","0","14","0","14","38","29","17","16","130","48","17","19","0","14","0","14","6","10","11","17","113","50","0","14","72","41","32","26","9","9","83","37","31","26","6","11","0","14","15","18","10","12","52","27","0","14","0","14","4","7","48","27","178","52","129","48","81","32","0","14","0","14","21","20","60","27","48","36","5","9","0","14","0","14","5","9","0","14","43","34","0","14","17","26","17","16","9","14","49","30","6","9","0","14","0","14","0","14","6","9","43","29","0","14","0","14","22","21","21","20"
"1500000US720019566002","Block Group 2, Census Tract 9566, Adjuntas Municipio, Puerto Rico","288","57","219","58","157","56","76","39","0","14","18","22","47","29","11","16","81","42","0","14","0","14","0","14","0","14","0","14","81","42","0","14","51","38","15","16","15","14","62","39","11","12","0","14","0","14","0","14","11","12","51","38","0","14","0","14","25","24","26","25","69","33","52","30","30","26","0","14","0","14","17","21","13","14","22","16","10","12","0","14","0","14","6","10","4","6","12","11","0","14","0","14","4","7","8","9","17","15","10","12","0","14","0","14","6","10","4","6","7","10","0","14","0","14","0","14","7","10"
"1500000US720019567001","Block Group 1, Census Tract 9567, Adjuntas Municipio, Puerto Rico","266","64","123","53","99","48","42","24","0","14","0","14","35","26","7","11","57","39","23","26","0","14","12","19","11","19","0","14","34","28","0","14","9","13","21","24","4","6","24","22","5","7","0","14","0","14","0","14","5","7","19","21","0","14","0","14","19","21","0","14","143","45","102","41","62","32","0","14","8","14","16","17","38","28","40","30","36","29","0","14","10","16","15","18","11","16","4","6","0","14","0","14","0","14","4","6","41","30","41","30","0","14","0","14","20","23","21","19","0","14","0","14","0","14","0","14","0","14"
