"GEO_ID","NAME","B19058_001E","B19058_001M","B19058_002E","B19058_002M","B19058_003E","B19058_003M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With cash public assistance or Food Stamps/SNAP","Margin of Error!!Total:!!With cash public assistance or Food Stamps/SNAP","Estimate!!Total:!!No cash public assistance or Food Stamps/SNAP","Margin of Error!!Total:!!No cash public assistance or Food Stamps/SNAP"
"1500000US720019563001","Block Group 1, Census Tract 9563, Adjuntas Municipio, Puerto Rico","601","103","311","82","290","94"
"1500000US720019563002","Block Group 2, Census Tract 9563, Adjuntas Municipio, Puerto Rico","712","132","377","102","335","106"
"1500000US720019564001","Block Group 1, Census Tract 9564, Adjuntas Municipio, Puerto Rico","524","114","236","97","288","98"
"1500000US720019564002","Block Group 2, Census Tract 9564, Adjuntas Municipio, Puerto Rico","367","83","199","72","168","68"
"1500000US720019565001","Block Group 1, Census Tract 9565, Adjuntas Municipio, Puerto Rico","484","103","275","87","209","92"
"1500000US720019565002","Block Group 2, Census Tract 9565, Adjuntas Municipio, Puerto Rico","315","87","174","78","141","71"
"1500000US720019566001","Block Group 1, Census Tract 9566, Adjuntas Municipio, Puerto Rico","446","70","286","69","160","42"
"1500000US720019566002","Block Group 2, Census Tract 9566, Adjuntas Municipio, Puerto Rico","288","57","184","54","104","43"
"1500000US720019567001","Block Group 1, Census Tract 9567, Adjuntas Municipio, Puerto Rico","266","64","143","55","123","41"
"1500000US720019567002","Block Group 2, Census Tract 9567, Adjuntas Municipio, Puerto Rico","390","69","204","61","186","55"
"1500000US720019568001","Block Group 1, Census Tract 9568, Adjuntas Municipio, Puerto Rico","613","107","307","100","306","97"
"1500000US720019568002","Block Group 2, Census Tract 9568, Adjuntas Municipio, Puerto Rico","765","116","379","115","386","99"
"1500000US720034301001","Block Group 1, Census Tract 4301, Aguada Municipio, Puerto Rico","502","104","249","90","253","86"
"1500000US720034301002","Block Group 2, Census Tract 4301, Aguada Municipio, Puerto Rico","614","115","270","89","344","111"
"1500000US720034301003","Block Group 3, Census Tract 4301, Aguada Municipio, Puerto Rico","289","81","91","56","198","83"
"1500000US720034302001","Block Group 1, Census Tract 4302, Aguada Municipio, Puerto Rico","797","159","421","140","376","142"
"1500000US720034302002","Block Group 2, Census Tract 4302, Aguada Municipio, Puerto Rico","343","108","167","91","176","95"
"1500000US720034302003","Block Group 3, Census Tract 4302, Aguada Municipio, Puerto Rico","156","86","67","61","89","63"
"1500000US720034302004","Block Group 4, Census Tract 4302, Aguada Municipio, Puerto Rico","512","154","305","123","207","120"
"1500000US720034303001","Block Group 1, Census Tract 4303, Aguada Municipio, Puerto Rico","237","87","158","76","79","59"
"1500000US720034303002","Block Group 2, Census Tract 4303, Aguada Municipio, Puerto Rico","243","78","135","61","108","58"
"1500000US720034303003","Block Group 3, Census Tract 4303, Aguada Municipio, Puerto Rico","389","86","257","77","132","55"
"1500000US720034304011","Block Group 1, Census Tract 4304.01, Aguada Municipio, Puerto Rico","405","115","203","84","202","96"
"1500000US720034304012","Block Group 2, Census Tract 4304.01, Aguada Municipio, Puerto Rico","522","119","389","111","133","67"
"1500000US720034304013","Block Group 3, Census Tract 4304.01, Aguada Municipio, Puerto Rico","460","121","252","94","208","89"
"1500000US720034304021","Block Group 1, Census Tract 4304.02, Aguada Municipio, Puerto Rico","505","116","303","105","202","79"
"1500000US720034304022","Block Group 2, Census Tract 4304.02, Aguada Municipio, Puerto Rico","581","136","330","103","251","103"
"1500000US720034304023","Block Group 3, Census Tract 4304.02, Aguada Municipio, Puerto Rico","359","97","247","93","112","64"
"1500000US720034305011","Block Group 1, Census Tract 4305.01, Aguada Municipio, Puerto Rico","300","111","143","79","157","102"
"1500000US720034305012","Block Group 2, Census Tract 4305.01, Aguada Municipio, Puerto Rico","429","132","216","105","213","97"
"1500000US720034305013","Block Group 3, Census Tract 4305.01, Aguada Municipio, Puerto Rico","421","150","81","79","340","155"
"1500000US720034305014","Block Group 4, Census Tract 4305.01, Aguada Municipio, Puerto Rico","647","154","150","87","497","152"
"1500000US720034305021","Block Group 1, Census Tract 4305.02, Aguada Municipio, Puerto Rico","900","136","664","130","236","96"
"1500000US720034305022","Block Group 2, Census Tract 4305.02, Aguada Municipio, Puerto Rico","661","129","345","112","316","108"
"1500000US720034306011","Block Group 1, Census Tract 4306.01, Aguada Municipio, Puerto Rico","558","128","259","93","299","98"
"1500000US720034306012","Block Group 2, Census Tract 4306.01, Aguada Municipio, Puerto Rico","368","96","163","87","205","72"
"1500000US720034306013","Block Group 3, Census Tract 4306.01, Aguada Municipio, Puerto Rico","246","81","125","70","121","60"
"1500000US720034306014","Block Group 4, Census Tract 4306.01, Aguada Municipio, Puerto Rico","267","73","221","76","46","39"
"1500000US720034306021","Block Group 1, Census Tract 4306.02, Aguada Municipio, Puerto Rico","351","99","239","87","112","56"
"1500000US720034306022","Block Group 2, Census Tract 4306.02, Aguada Municipio, Puerto Rico","768","132","210","86","558","125"
"1500000US720039900000","Block Group 0, Census Tract 9900, Aguada Municipio, Puerto Rico","0","14","0","14","0","14"
"1500000US720054001001","Block Group 1, Census Tract 4001, Aguadilla Municipio, Puerto Rico","449","128","167","104","282","118"
"1500000US720054001002","Block Group 2, Census Tract 4001, Aguadilla Municipio, Puerto Rico","192","80","55","65","137","74"
"1500000US720054001003","Block Group 3, Census Tract 4001, Aguadilla Municipio, Puerto Rico","413","144","165","103","248","126"
"1500000US720054001004","Block Group 4, Census Tract 4001, Aguadilla Municipio, Puerto Rico","539","140","229","123","310","122"
"1500000US720054001005","Block Group 5, Census Tract 4001, Aguadilla Municipio, Puerto Rico","369","126","161","113","208","106"
"1500000US720054003001","Block Group 1, Census Tract 4003, Aguadilla Municipio, Puerto Rico","582","104","102","44","480","105"
"1500000US720054003002","Block Group 2, Census Tract 4003, Aguadilla Municipio, Puerto Rico","647","111","97","59","550","116"
"1500000US720054004001","Block Group 1, Census Tract 4004, Aguadilla Municipio, Puerto Rico","500","116","395","118","105","55"
"1500000US720054004002","Block Group 2, Census Tract 4004, Aguadilla Municipio, Puerto Rico","427","103","85","60","342","95"
"1500000US720054004003","Block Group 3, Census Tract 4004, Aguadilla Municipio, Puerto Rico","589","126","294","101","295","98"
"1500000US720054005011","Block Group 1, Census Tract 4005.01, Aguadilla Municipio, Puerto Rico","1035","126","324","106","711","117"
"1500000US720054005012","Block Group 2, Census Tract 4005.01, Aguadilla Municipio, Puerto Rico","398","84","292","74","106","66"
"1500000US720054005021","Block Group 1, Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","928","179","327","133","601","175"
"1500000US720054005022","Block Group 2, Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","832","175","463","158","369","149"
"1500000US720054005023","Block Group 3, Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","495","135","366","123","129","81"
"1500000US720054006001","Block Group 1, Census Tract 4006, Aguadilla Municipio, Puerto Rico","415","92","342","86","73","45"
"1500000US720054006002","Block Group 2, Census Tract 4006, Aguadilla Municipio, Puerto Rico","331","78","118","63","213","63"
"1500000US720054006003","Block Group 3, Census Tract 4006, Aguadilla Municipio, Puerto Rico","396","102","249","92","147","67"
"1500000US720054007001","Block Group 1, Census Tract 4007, Aguadilla Municipio, Puerto Rico","519","103","111","53","408","105"
