"Fact","Fact Note","Cabo Rojo Municipio, Puerto Rico","Value Note for Cabo Rojo Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","47,515",""
"Population estimates base, April 1, 2010,  (V2019)","","50,917",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-6.7%",""
"Population, Census, April 1, 2010","","50,917",""
"Persons under 5 years, percent","","3.0%",""
"Persons under 18 years, percent","","16.7%",""
"Persons 65 years and over, percent","","23.8%",""
"Female persons, percent","","52.7%",""
"White alone, percent","","22.7%",""
"Black or African American alone, percent","(a)","1.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.0%",""
"Hispanic or Latino, percent","(b)","99.6%",""
"White alone, not Hispanic or Latino, percent","","0.3%",""
"Veterans, 2015-2019","","441",""
"Foreign born persons, percent, 2015-2019","","0.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","64.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$107,500",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$760",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$135",""
"Median gross rent, 2015-2019","","$465",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","15,473",""
"Persons per household, 2015-2019","","3.12",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","98.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.5%",""
"Households with a computer, percent, 2015-2019","","31.6%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","29.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","70.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","26.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.9%",""
"Persons  without health insurance, under age 65 years, percent","","6.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","36.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","31.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","28,425",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","30,250",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","236,103",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","17,094",""
"Total retail sales, 2012 ($1,000)","(c)","165,211",""
"Total retail sales per capita, 2012","(c)","$3,232",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.3",""
"Median household income (in 2019 dollars), 2015-2019","","$16,708",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,903",""
"Persons in poverty, percent","","51.1%",""
"Total employer establishments, 2018","","499",""
"Total employment, 2018","","3,619",""
"Total annual payroll, 2018 ($1,000)","","57,878",""
"Total employment, percent change, 2017-2018","","-7.8%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","723.5",""
"Land area in square miles, 2010","","70.37",""
"FIPS Code","","""72023""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
