"Fact","Fact Note","Caguas Municipio, Puerto Rico","Value Note for Caguas Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","124,606",""
"Population estimates base, April 1, 2010,  (V2019)","","142,917",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-12.8%",""
"Population, Census, April 1, 2010","","142,893",""
"Persons under 5 years, percent","","3.5%",""
"Persons under 18 years, percent","","17.7%",""
"Persons 65 years and over, percent","","20.9%",""
"Female persons, percent","","53.6%",""
"White alone, percent","","76.3%",""
"Black or African American alone, percent","(a)","8.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent","(b)","98.6%",""
"White alone, not Hispanic or Latino, percent","","1.1%",""
"Veterans, 2015-2019","","3,601",""
"Foreign born persons, percent, 2015-2019","","1.9%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","68.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$127,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$925",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$148",""
"Median gross rent, 2015-2019","","$567",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","48,184",""
"Persons per household, 2015-2019","","2.65",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","93.7%",""
"Households with a computer, percent, 2015-2019","","75.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","70.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","81.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","31.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","17.5%",""
"Persons  without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","49.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","44.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","260,619",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","341,943",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,458,775",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","2,281,625",""
"Total retail sales, 2012 ($1,000)","(c)","1,999,290",""
"Total retail sales per capita, 2012","(c)","$14,140",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","33.8",""
"Median household income (in 2019 dollars), 2015-2019","","$25,136",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$15,244",""
"Persons in poverty, percent","","37.7%",""
"Total employer establishments, 2018","","2,337",""
"Total employment, 2018","","35,187",""
"Total annual payroll, 2018 ($1,000)","","910,884",""
"Total employment, percent change, 2017-2018","","-5.1%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","2,438.6",""
"Land area in square miles, 2010","","58.60",""
"FIPS Code","","""72025""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
