"Fact","Fact Note","Canóvanas Municipio, Puerto Rico","Value Note for Canóvanas Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","44,674",""
"Population estimates base, April 1, 2010,  (V2019)","","47,639",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-6.2%",""
"Population, Census, April 1, 2010","","47,648",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","17.7%",""
"Female persons, percent","","52.0%",""
"White alone, percent","","48.2%",""
"Black or African American alone, percent","(a)","11.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.6%",""
"Hispanic or Latino, percent","(b)","99.8%",""
"White alone, not Hispanic or Latino, percent","","0.1%",""
"Veterans, 2015-2019","","999",""
"Foreign born persons, percent, 2015-2019","","4.1%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","73.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$107,500",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$944",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$137",""
"Median gross rent, 2015-2019","","$522",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","14,643",""
"Persons per household, 2015-2019","","3.10",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.3%",""
"Households with a computer, percent, 2015-2019","","79.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","77.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","75.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","23.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","12.8%",""
"Persons  without health insurance, under age 65 years, percent","","12.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","51.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","45.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","31,377",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","26,871",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","59,234",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","4,135",""
"Total retail sales, 2012 ($1,000)","(c)","287,035",""
"Total retail sales per capita, 2012","(c)","$5,967",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","36.7",""
"Median household income (in 2019 dollars), 2015-2019","","$21,267",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$12,924",""
"Persons in poverty, percent","","42.1%",""
"Total employer establishments, 2018","","323",""
"Total employment, 2018","","3,375",""
"Total annual payroll, 2018 ($1,000)","","84,362",""
"Total employment, percent change, 2017-2018","","-15.6%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,449.8",""
"Land area in square miles, 2010","","32.87",""
"FIPS Code","","""72029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
