"Fact","Fact Note","Ceiba Municipio, Puerto Rico","Value Note for Ceiba Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","10,904",""
"Population estimates base, April 1, 2010,  (V2019)","","13,631",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-20.0%",""
"Population, Census, April 1, 2010","","13,631",""
"Persons under 5 years, percent","","3.2%",""
"Persons under 18 years, percent","","16.7%",""
"Persons 65 years and over, percent","","24.5%",""
"Female persons, percent","","53.4%",""
"White alone, percent","","61.2%",""
"Black or African American alone, percent","(a)","8.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","3.4%",""
"Hispanic or Latino, percent","(b)","98.4%",""
"White alone, not Hispanic or Latino, percent","","1.2%",""
"Veterans, 2015-2019","","371",""
"Foreign born persons, percent, 2015-2019","","2.1%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","71.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$92,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$660",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$140",""
"Median gross rent, 2015-2019","","$489",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","4,224",""
"Persons per household, 2015-2019","","2.72",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","91.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.6%",""
"Households with a computer, percent, 2015-2019","","69.1%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","63.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","73.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","18.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","4.9%",""
"Persons  without health insurance, under age 65 years, percent","","7.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","41.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","34.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","5,548",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","3,388",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","8,870",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","6,562",""
"Total retail sales per capita, 2012","(c)","$497",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.3",""
"Median household income (in 2019 dollars), 2015-2019","","$18,309",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,204",""
"Persons in poverty, percent","","41.5%",""
"Total employer establishments, 2018","","87",""
"Total employment, 2018","","541",""
"Total annual payroll, 2018 ($1,000)","","11,757",""
"Total employment, percent change, 2017-2018","","1.7%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","469.5",""
"Land area in square miles, 2010","","29.04",""
"FIPS Code","","""72037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
