"Fact","Fact Note","Ciales Municipio, Puerto Rico","Value Note for Ciales Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","15,808",""
"Population estimates base, April 1, 2010,  (V2019)","","18,782",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-15.8%",""
"Population, Census, April 1, 2010","","18,782",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","18.4%",""
"Persons 65 years and over, percent","","21.3%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","93.4%",""
"Black or African American alone, percent","(a)","1.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent","(b)","99.1%",""
"White alone, not Hispanic or Latino, percent","","0.9%",""
"Veterans, 2015-2019","","169",""
"Foreign born persons, percent, 2015-2019","","0.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","69.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$88,600",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$639",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$126",""
"Median gross rent, 2015-2019","","$378",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","5,831",""
"Persons per household, 2015-2019","","2.83",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","92.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.2%",""
"Households with a computer, percent, 2015-2019","","66.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","53.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","67.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","15.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","20.9%",""
"Persons  without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","33.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","29.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","3,362",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","10,696",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","8,681",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","34,069",""
"Total retail sales per capita, 2012","(c)","$1,858",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","39.3",""
"Median household income (in 2019 dollars), 2015-2019","","$16,867",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,106",""
"Persons in poverty, percent","","55.1%",""
"Total employer establishments, 2018","","101",""
"Total employment, 2018","","675",""
"Total annual payroll, 2018 ($1,000)","","11,514",""
"Total employment, percent change, 2017-2018","","-9.8%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","282.3",""
"Land area in square miles, 2010","","66.53",""
"FIPS Code","","""72039""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
