"Fact","Fact Note","Corozal Municipio, Puerto Rico","Value Note for Corozal Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","32,293",""
"Population estimates base, April 1, 2010,  (V2019)","","37,142",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-13.1%",""
"Population, Census, April 1, 2010","","37,142",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","19.6%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","81.0%",""
"Black or African American alone, percent","(a)","7.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent","(b)","99.0%",""
"White alone, not Hispanic or Latino, percent","","0.9%",""
"Veterans, 2015-2019","","379",""
"Foreign born persons, percent, 2015-2019","","0.1%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","75.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$92,100",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$740",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$152",""
"Median gross rent, 2015-2019","","$516",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","10,535",""
"Persons per household, 2015-2019","","3.15",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","96.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.8%",""
"Households with a computer, percent, 2015-2019","","63.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","52.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","69.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","19.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","18.9%",""
"Persons  without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","42.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","36.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","8,864",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","14,889",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","28,899",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","12,022",""
"Total retail sales, 2012 ($1,000)","(c)","66,000",""
"Total retail sales per capita, 2012","(c)","$1,795",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","39.2",""
"Median household income (in 2019 dollars), 2015-2019","","$15,140",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$8,124",""
"Persons in poverty, percent","","56.0%",""
"Total employer establishments, 2018","","284",""
"Total employment, 2018","","2,497",""
"Total annual payroll, 2018 ($1,000)","","46,882",""
"Total employment, percent change, 2017-2018","","-1.0%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","872.4",""
"Land area in square miles, 2010","","42.57",""
"FIPS Code","","""72047""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
