"Fact","Fact Note","Culebra Municipio, Puerto Rico","Value Note for Culebra Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","1,714",""
"Population estimates base, April 1, 2010,  (V2019)","","1,818",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-5.7%",""
"Population, Census, April 1, 2010","","1,818",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","17.7%",""
"Persons 65 years and over, percent","","22.8%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","54.2%",""
"Black or African American alone, percent","(a)","5.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","4.9%",""
"Hispanic or Latino, percent","(b)","91.4%",""
"White alone, not Hispanic or Latino, percent","","7.4%",""
"Veterans, 2015-2019","","55",""
"Foreign born persons, percent, 2015-2019","","4.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","61.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$143,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,563",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$192",""
"Median gross rent, 2015-2019","","$566",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","482",""
"Persons per household, 2015-2019","","2.72",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","99.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","92.7%",""
"Households with a computer, percent, 2015-2019","","77.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","67.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","70.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","15.3%",""
"With a disability, under age 65 years, percent, 2015-2019","","6.5%",""
"Persons  without health insurance, under age 65 years, percent","","15.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","56.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","52.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,686",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","D",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","X",""
"Total retail sales, 2012 ($1,000)","(c)","4,673",""
"Total retail sales per capita, 2012","(c)","$2,587",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","11.6",""
"Median household income (in 2019 dollars), 2015-2019","","$23,333",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$15,027",""
"Persons in poverty, percent","","36.0%",""
"Total employer establishments, 2018","","39",""
"Total employment, 2018","","192",""
"Total annual payroll, 2018 ($1,000)","","3,447",""
"Total employment, percent change, 2017-2018","","-23.5%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","156.4",""
"Land area in square miles, 2010","","11.62",""
"FIPS Code","","""72049""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
