"Fact","Fact Note","Fajardo Municipio, Puerto Rico","Value Note for Fajardo Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","29,454",""
"Population estimates base, April 1, 2010,  (V2019)","","36,993",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-20.4%",""
"Population, Census, April 1, 2010","","36,993",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","18.4%",""
"Persons 65 years and over, percent","","22.6%",""
"Female persons, percent","","53.4%",""
"White alone, percent","","56.1%",""
"Black or African American alone, percent","(a)","10.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent","(b)","99.0%",""
"White alone, not Hispanic or Latino, percent","","0.3%",""
"Veterans, 2015-2019","","1,099",""
"Foreign born persons, percent, 2015-2019","","2.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","65.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$101,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$757",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$148",""
"Median gross rent, 2015-2019","","$515",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","12,298",""
"Persons per household, 2015-2019","","2.52",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","89.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.9%",""
"Households with a computer, percent, 2015-2019","","75.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","71.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","25.3%",""
"With a disability, under age 65 years, percent, 2015-2019","","14.4%",""
"Persons  without health insurance, under age 65 years, percent","","9.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","53.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","51.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","233,930",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","95,415",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","17,075",""
"Total retail sales, 2012 ($1,000)","(c)","287,686",""
"Total retail sales per capita, 2012","(c)","$8,022",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.4",""
"Median household income (in 2019 dollars), 2015-2019","","$19,430",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$12,846",""
"Persons in poverty, percent","","43.7%",""
"Total employer establishments, 2018","","479",""
"Total employment, 2018","","6,635",""
"Total annual payroll, 2018 ($1,000)","","156,303",""
"Total employment, percent change, 2017-2018","","-9.0%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,238.7",""
"Land area in square miles, 2010","","29.86",""
"FIPS Code","","""72053""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
