"Fact","Fact Note","Florida Municipio, Puerto Rico","Value Note for Florida Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","11,317",""
"Population estimates base, April 1, 2010,  (V2019)","","12,677",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-10.7%",""
"Population, Census, April 1, 2010","","12,680",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","52.6%",""
"White alone, percent","","83.6%",""
"Black or African American alone, percent","(a)","1.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","98.9%",""
"White alone, not Hispanic or Latino, percent","","1.1%",""
"Veterans, 2015-2019","","217",""
"Foreign born persons, percent, 2015-2019","","0.0%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","72.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$92,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$666",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$148",""
"Median gross rent, 2015-2019","","$547",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","4,271",""
"Persons per household, 2015-2019","","2.74",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","96.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","97.8%",""
"Households with a computer, percent, 2015-2019","","71.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","51.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","77.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","13.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","13.1%",""
"Persons  without health insurance, under age 65 years, percent","","4.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","43.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","37.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","394",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","4,107",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","16,515",""
"Total retail sales per capita, 2012","(c)","$1,311",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.9",""
"Median household income (in 2019 dollars), 2015-2019","","$20,442",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,250",""
"Persons in poverty, percent","","50.5%",""
"Total employer establishments, 2018","","54",""
"Total employment, 2018","","595",""
"Total annual payroll, 2018 ($1,000)","","9,634",""
"Total employment, percent change, 2017-2018","","-11.5%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","833.7",""
"Land area in square miles, 2010","","15.21",""
"FIPS Code","","""72054""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
