"Fact","Fact Note","Guánica Municipio, Puerto Rico","Value Note for Guánica Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","15,383",""
"Population estimates base, April 1, 2010,  (V2019)","","19,427",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-20.8%",""
"Population, Census, April 1, 2010","","19,427",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","19.0%",""
"Persons 65 years and over, percent","","25.0%",""
"Female persons, percent","","52.0%",""
"White alone, percent","","57.2%",""
"Black or African American alone, percent","(a)","5.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent","(b)","99.0%",""
"White alone, not Hispanic or Latino, percent","","0.8%",""
"Veterans, 2015-2019","","402",""
"Foreign born persons, percent, 2015-2019","","0.2%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","71.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$88,100",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$664",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$117",""
"Median gross rent, 2015-2019","","$378",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","5,515",""
"Persons per household, 2015-2019","","2.94",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","97.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","94.3%",""
"Households with a computer, percent, 2015-2019","","52.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","41.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","69.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","15.5%",""
"With a disability, under age 65 years, percent, 2015-2019","","29.3%",""
"Persons  without health insurance, under age 65 years, percent","","5.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","34.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","30.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","6,593",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","2,940",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","40,218",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","697",""
"Total retail sales, 2012 ($1,000)","(c)","26,280",""
"Total retail sales per capita, 2012","(c)","$1,400",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","21.8",""
"Median household income (in 2019 dollars), 2015-2019","","$12,995",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$7,293",""
"Persons in poverty, percent","","63.4%",""
"Total employer establishments, 2018","","98",""
"Total employment, 2018","","1,298",""
"Total annual payroll, 2018 ($1,000)","","22,156",""
"Total employment, percent change, 2017-2018","","-12.3%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","524.3",""
"Land area in square miles, 2010","","37.05",""
"FIPS Code","","""72055""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
