"Fact","Fact Note","Isabela Municipio, Puerto Rico","Value Note for Isabela Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","40,423",""
"Population estimates base, April 1, 2010,  (V2019)","","45,655",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-11.5%",""
"Population, Census, April 1, 2010","","45,631",""
"Persons under 5 years, percent","","3.3%",""
"Persons under 18 years, percent","","17.2%",""
"Persons 65 years and over, percent","","20.7%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","65.6%",""
"Black or African American alone, percent","(a)","5.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.9%",""
"Hispanic or Latino, percent","(b)","98.6%",""
"White alone, not Hispanic or Latino, percent","","0.9%",""
"Veterans, 2015-2019","","850",""
"Foreign born persons, percent, 2015-2019","","1.5%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","63.6%",""
"Median value of owner-occupied housing units, 2015-2019","","$102,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$760",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$120",""
"Median gross rent, 2015-2019","","$456",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","14,670",""
"Persons per household, 2015-2019","","2.82",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","97.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","94.2%",""
"Households with a computer, percent, 2015-2019","","58.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","40.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","70.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","21.9%",""
"With a disability, under age 65 years, percent, 2015-2019","","18.6%",""
"Persons  without health insurance, under age 65 years, percent","","6.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","35.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","31.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","22,188",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","20,189",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","23,943",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","36,922",""
"Total retail sales, 2012 ($1,000)","(c)","245,228",""
"Total retail sales per capita, 2012","(c)","$5,405",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.2",""
"Median household income (in 2019 dollars), 2015-2019","","$16,540",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,002",""
"Persons in poverty, percent","","55.7%",""
"Total employer establishments, 2018","","421",""
"Total employment, 2018","","4,021",""
"Total annual payroll, 2018 ($1,000)","","92,835",""
"Total employment, percent change, 2017-2018","","-4.4%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","825.1",""
"Land area in square miles, 2010","","55.30",""
"FIPS Code","","""72071""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
