"Fact","Fact Note","Juncos Municipio, Puerto Rico","Value Note for Juncos Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","38,155",""
"Population estimates base, April 1, 2010,  (V2019)","","40,290",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-5.3%",""
"Population, Census, April 1, 2010","","40,290",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","19.8%",""
"Persons 65 years and over, percent","","16.7%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","49.1%",""
"Black or African American alone, percent","(a)","13.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.1%",""
"Hispanic or Latino, percent","(b)","99.3%",""
"White alone, not Hispanic or Latino, percent","","0.6%",""
"Veterans, 2015-2019","","719",""
"Foreign born persons, percent, 2015-2019","","0.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","71.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$104,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$781",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$134",""
"Median gross rent, 2015-2019","","$443",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","12,558",""
"Persons per household, 2015-2019","","3.07",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","94.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","91.0%",""
"Households with a computer, percent, 2015-2019","","78.4%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","75.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","75.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","19.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","14.0%",""
"Persons  without health insurance, under age 65 years, percent","","10.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","49.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","46.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","17,322",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","11,922",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,781",""
"Total retail sales, 2012 ($1,000)","(c)","93,978",""
"Total retail sales per capita, 2012","(c)","$2,311",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","30.3",""
"Median household income (in 2019 dollars), 2015-2019","","$19,605",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$10,222",""
"Persons in poverty, percent","","47.4%",""
"Total employer establishments, 2018","","234",""
"Total employment, 2018","","5,374",""
"Total annual payroll, 2018 ($1,000)","","343,060",""
"Total employment, percent change, 2017-2018","","-3.7%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,521.0",""
"Land area in square miles, 2010","","26.49",""
"FIPS Code","","""72077""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
