"Fact","Fact Note","Las Piedras Municipio, Puerto Rico","Value Note for Las Piedras Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","37,007",""
"Population estimates base, April 1, 2010,  (V2019)","","38,675",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-4.3%",""
"Population, Census, April 1, 2010","","38,675",""
"Persons under 5 years, percent","","3.6%",""
"Persons under 18 years, percent","","18.6%",""
"Persons 65 years and over, percent","","19.0%",""
"Female persons, percent","","52.0%",""
"White alone, percent","","20.4%",""
"Black or African American alone, percent","(a)","77.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.8%",""
"Hispanic or Latino, percent","(b)","99.7%",""
"White alone, not Hispanic or Latino, percent","","0.1%",""
"Veterans, 2015-2019","","401",""
"Foreign born persons, percent, 2015-2019","","0.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","78.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$114,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$863",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$138",""
"Median gross rent, 2015-2019","","$560",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","12,376",""
"Persons per household, 2015-2019","","3.03",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","95.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","97.5%",""
"Households with a computer, percent, 2015-2019","","69.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","64.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","77.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","22.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","6.1%",""
"Persons  without health insurance, under age 65 years, percent","","7.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","40.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","37.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","19,512",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","11,905",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,216,135",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","8,066",""
"Total retail sales, 2012 ($1,000)","(c)","70,784",""
"Total retail sales per capita, 2012","(c)","$1,808",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.2",""
"Median household income (in 2019 dollars), 2015-2019","","$21,667",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,475",""
"Persons in poverty, percent","","41.9%",""
"Total employer establishments, 2018","","266",""
"Total employment, 2018","","4,010",""
"Total annual payroll, 2018 ($1,000)","","141,629",""
"Total employment, percent change, 2017-2018","","-9.9%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,141.5",""
"Land area in square miles, 2010","","33.88",""
"FIPS Code","","""72085""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
