"Fact","Fact Note","Manatí Municipio, Puerto Rico","Value Note for Manatí Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","37,287",""
"Population estimates base, April 1, 2010,  (V2019)","","44,113",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-15.5%",""
"Population, Census, April 1, 2010","","44,113",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","18.3%",""
"Persons 65 years and over, percent","","22.6%",""
"Female persons, percent","","53.1%",""
"White alone, percent","","83.2%",""
"Black or African American alone, percent","(a)","4.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.9%",""
"Hispanic or Latino, percent","(b)","97.8%",""
"White alone, not Hispanic or Latino, percent","","1.4%",""
"Veterans, 2015-2019","","720",""
"Foreign born persons, percent, 2015-2019","","0.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","73.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$106,100",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$796",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$130",""
"Median gross rent, 2015-2019","","$532",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","14,825",""
"Persons per household, 2015-2019","","2.60",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","92.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.4%",""
"Households with a computer, percent, 2015-2019","","69.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","45.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","72.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","22.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","13.2%",""
"Persons  without health insurance, under age 65 years, percent","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","40.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","35.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","38,153",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","199,517",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,362,872",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","73,094",""
"Total retail sales, 2012 ($1,000)","(c)","329,946",""
"Total retail sales per capita, 2012","(c)","$7,628",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.0",""
"Median household income (in 2019 dollars), 2015-2019","","$18,502",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,084",""
"Persons in poverty, percent","","47.0%",""
"Total employer establishments, 2018","","616",""
"Total employment, 2018","","11,242",""
"Total annual payroll, 2018 ($1,000)","","338,312",""
"Total employment, percent change, 2017-2018","","1.1%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","977.5",""
"Land area in square miles, 2010","","45.13",""
"FIPS Code","","""72091""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
