censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12001000200,12001000200,0.973007211,0.430140982,0.045994933,0.454217806,1.903360932,0.534865334
1400000US12001000301,12001000301,0.873708829,0.843364123,0.055642175,0.674654198,2.447369325,0.688610531
1400000US12001000302,12001000302,0.749561489,0.922994652,0.170921848,0.880381843,2.723859832,0.766751031
1400000US12001000400,12001000400,0.787955564,0.740787555,0.513837459,0.942333918,2.984914495,0.840529122
1400000US12001000500,12001000500,0.804424089,0.9516772,0.218768271,0.785992597,2.760862157,0.777208461
1400000US12001000600,12001000600,0.826934321,0.978998542,0.234457221,0.74771089,2.788100973,0.784906572
1400000US12001000700,12001000700,0.812999415,0.818084589,0.331611772,0.811221508,2.773917284,0.780898042
1400000US12001000806,12001000806,0.93198207,0.53748177,0.021730657,0.400155854,1.89135035,0.531470958
1400000US12001000808,12001000808,0.88998246,0.607875547,0.032254921,0.542372881,2.072485809,0.582662644
1400000US12001000809,12001000809,0.646657572,0.546135148,0.047943871,0.740307812,1.981044403,0.556819886
1400000US12001000901,12001000901,0.90878971,0.563928051,0.003020854,0.838301188,2.314039802,0.650929543
1400000US12001000902,12001000902,0.740693822,0.573553719,0.003020854,0.925092538,2.242360933,0.630671985
1400000US12001001000,12001001000,0.89719353,0.207097715,0.199571234,0.731053965,2.034916443,0.572044959
1400000US12001001100,12001001100,0.195770805,0.026640739,0.751802767,0.607734268,1.58194858,0.444029226
1400000US12001001201,12001001201,0.128045215,0.294992708,0.522705126,0.562926164,1.508669213,0.423319342
1400000US12001001202,12001001202,0.447183785,0.280700049,0.434905477,0.429670758,1.592460068,0.446999935
1400000US12001001203,12001001203,0.778795556,0.598930481,0.109627753,0.625852328,2.113206119,0.594170834
1400000US12001001400,12001001400,0.656597155,0.426835197,0.637010329,0.76582895,2.486271631,0.699604926
1400000US12001001514,12001001514,0.907035666,0.610306271,0.02319236,0.304013248,1.844547545,0.51824376
1400000US12001001515,12001001515,0.952640811,0.738259601,0.025141298,0.32729398,2.04333569,0.574424369
1400000US12001001516,12001001516,0.96082635,0.547107438,0.028649386,0.152250146,1.68883332,0.474236509
1400000US12001001517,12001001517,0.932956539,0.570345163,0.015591503,0.226865381,1.745758585,0.49032447
1400000US12001001519,12001001519,0.967842526,0.904812834,0.003020854,0.194623027,2.070299241,0.582044686
1400000US12001001520,12001001520,0.959267199,0.610014584,0.02475151,0.320475356,1.91450865,0.538015852
1400000US12001001521,12001001521,0.867179887,0.468838114,0.025238745,0.392070914,1.753327659,0.492463608
1400000US12001001603,12001001603,0.800136426,0.391054934,0.147534594,0.838008962,2.176734915,0.612125056
1400000US12001001604,12001001604,0.916390567,0.36869227,0.059734944,0.256575102,1.601392884,0.449524487
1400000US12001001701,12001001701,0.608945625,0.496353913,0.171506529,0.323300214,1.600106281,0.449160873
