censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12001000200,12001000200,0.973007211,0.430140982,0.996295213,0.045994933,0.454217806,2.899656145,0.632102734
1400000US12001000301,12001000301,0.873708829,0.843364123,0.830749732,0.055642175,0.674654198,3.278119056,0.719637606
1400000US12001000302,12001000302,0.749561489,0.922994652,0.642975529,0.170921848,0.880381843,3.366835361,0.740156843
1400000US12001000400,12001000400,0.787955564,0.740787555,0.51964512,0.513837459,0.942333918,3.504559616,0.772011153
1400000US12001000500,12001000500,0.804424089,0.9516772,0.513990446,0.218768271,0.785992597,3.274852602,0.718882106
1400000US12001000600,12001000600,0.826934321,0.978998542,0.667544116,0.234457221,0.74771089,3.45564509,0.760697689
1400000US12001000700,12001000700,0.812999415,0.818084589,0.80452374,0.331611772,0.811221508,3.578441024,0.78909922
1400000US12001000806,12001000806,0.93198207,0.53748177,0.878716974,0.021730657,0.400155854,2.770067324,0.602130072
1400000US12001000808,12001000808,0.88998246,0.607875547,0.848298723,0.032254921,0.542372881,2.920784532,0.636989529
1400000US12001000809,12001000809,0.646657572,0.546135148,0.531539436,0.047943871,0.740307812,2.512583839,0.542576591
1400000US12001000901,12001000901,0.90878971,0.563928051,0.999707517,0.003020854,0.838301188,3.313747319,0.727878084
1400000US12001000902,12001000902,0.740693822,0.573553719,1,0.003020854,0.925092538,3.242360933,0.711367092
1400000US12001001000,12001001000,0.89719353,0.207097715,0.982840987,0.199571234,0.731053965,3.01775743,0.659418438
1400000US12001001100,12001001100,0.195770805,0.026640739,0.138637028,0.751802767,0.607734268,1.720585608,0.359394933
1400000US12001001201,12001001201,0.128045215,0.294992708,0.328458614,0.522705126,0.562926164,1.837127827,0.38635004
1400000US12001001202,12001001202,0.447183785,0.280700049,0.377790777,0.434905477,0.429670758,1.970250845,0.417140128
1400000US12001001203,12001001203,0.778795556,0.598930481,0.343862728,0.109627753,0.625852328,2.457068847,0.529736501
1400000US12001001400,12001001400,0.656597155,0.426835197,0.86799259,0.637010329,0.76582895,3.354264221,0.737249258
1400000US12001001514,12001001514,0.907035666,0.610306271,0.832504631,0.02319236,0.304013248,2.677052176,0.580616553
1400000US12001001515,12001001515,0.952640811,0.738259601,0.960124793,0.025141298,0.32729398,3.003460483,0.65611169
1400000US12001001516,12001001516,0.96082635,0.547107438,0.933313834,0.028649386,0.152250146,2.622147154,0.567917544
1400000US12001001517,12001001517,0.932956539,0.570345163,0.905235449,0.015591503,0.226865381,2.650994034,0.574589553
1400000US12001001519,12001001519,0.967842526,0.904812834,0.99112801,0.003020854,0.194623027,3.061427251,0.669518852
1400000US12001001520,12001001520,0.959267199,0.610014584,0.900848201,0.02475151,0.320475356,2.815356851,0.612605109
1400000US12001001521,12001001521,0.867179887,0.468838114,0.916642293,0.025238745,0.392070914,2.669969952,0.578978502
1400000US12001001603,12001001603,0.800136426,0.391054934,0.945500634,0.147534594,0.838008962,3.122235549,0.683583233
1400000US12001001604,12001001604,0.916390567,0.36869227,0.891781223,0.059734944,0.256575102,2.493174107,0.538087305
1400000US12001001701,12001001701,0.608945625,0.496353913,0.916447304,0.171506529,0.323300214,2.516553586,0.543494756
