fips_code,county,state,total_population,total_housing_units,occupied_housing_units,renter_occupied,below_poverty_rate,total_households_poverty
12001,Alachua County,Florida,259865,115282,97485,45233,13.300780252,97485
12003,Baker County,Florida,27537,9838,8299,1860,0.596594497,8299
12005,Bay County,Florida,180117,101437,68667,25786,,68667
12007,Bradford County,Florida,26775,11021,8980,2599,0.85390164,8980
12009,Brevard County,Florida,568183,274602,227223,63658,,227223
12011,Broward County,Florida,1890416,818382,675828,255048,,675828
12013,Calhoun County,Florida,14458,6007,4581,757,0.452378879,4581
12015,Charlotte County,Florida,173236,102657,74884,16312,,74884
12017,Citrus County,Florida,141373,78825,62488,11932,,62488
12019,Clay County,Florida,203291,78815,71939,18411,3.59285031,71939
12021,Collier County,Florida,356774,207403,138131,38507,,138131
12023,Columbia County,Florida,68484,28806,24722,6671,2.03579137,24722
12027,DeSoto County,Florida,35675,14999,11744,3654,1.807097188,11744
12029,Dixie County,Florida,16323,9369,6431,1400,,6431
12031,Duval County,Florida,912043,399736,347783,147116,,347783
12033,Escambia County,Florida,309924,139751,117836,46045,,117836
12035,Flagler County,Florida,105015,50279,39433,9064,,39433
12037,Franklin County,Florida,11675,8645,4327,1145,,4327
12039,Gadsden County,Florida,46113,19680,17310,5151,1.828927703,17310
12041,Gilchrist County,Florida,17191,7436,6399,1170,0.816964709,6399
12043,Glades County,Florida,13197,6985,4297,1074,,4297
12045,Gulf County,Florida,16018,9372,5295,1342,,5295
12047,Hamilton County,Florida,14238,5795,4551,1197,0.765031638,4551
12049,Hardee County,Florida,27326,9724,7718,2430,1.224682074,7718
12051,Hendry County,Florida,39064,14670,12098,4183,,12098
12053,Hernando County,Florida,179144,85726,72234,16047,,72234
12055,Highlands County,Florida,100177,55502,41350,10466,,41350
12057,Hillsborough County,Florida,1351087,563638,505845,212702,,505845
12059,Holmes County,Florida,19483,8671,7019,1523,0.997226391,7019
12061,Indian River County,Florida,147981,78469,57911,13997,,57911
12063,Jackson County,Florida,48571,21060,17041,5099,2.307268755,17041
12065,Jefferson County,Florida,14085,6680,5702,1288,,5702
12067,Lafayette County,Florida,8684,3226,2193,412,0.394946273,2193
12069,Lake County,Florida,326215,151295,127441,33797,7.679680892,127441
12071,Lee County,Florida,700165,383224,264325,79758,,264325
12073,Leon County,Florida,285890,127813,112373,53232,,112373
12075,Levy County,Florida,39713,20327,15806,3958,,15806
12077,Liberty County,Florida,8347,3522,2325,574,0.325189722,2325
12079,Madison County,Florida,18518,8571,6743,1637,1.452035871,6743
12081,Manatee County,Florida,363542,183774,140255,40155,,140255
12083,Marion County,Florida,343778,166357,134747,33233,,134747
12085,Martin County,Florida,155719,79523,63497,14855,,63497
12086,Miami-Dade County,Florida,2702602,1008908,858289,410278,,858289
12087,Monroe County,Florida,76745,53378,30198,12474,,30198
12089,Nassau County,Florida,78435,37177,30454,6766,,30454
12091,Okaloosa County,Florida,197591,95651,76574,28112,,76574
12093,Okeechobee County,Florida,40228,18598,13333,3703,,13333
12095,Orange County,Florida,1290216,517631,451960,205585,,451960
12097,Osceola County,Florida,325168,139796,96250,38110,6.801537177,96250
12099,Palm Beach County,Florida,1426772,678673,543591,170914,,543591
12101,Pasco County,Florida,498136,237481,195818,54991,,195818
12103,Pinellas County,Florida,949842,506468,406871,141243,,406871
12105,Polk County,Florida,652256,288797,226604,71901,,226604
12107,Putnam County,Florida,72435,37251,27951,7630,,27951
12109,St. Johns County,Florida,226578,100322,83744,19239,,83744
12111,St. Lucie County,Florida,298763,138923,110043,30563,,110043
12113,Santa Rosa County,Florida,166778,69166,60607,15571,,60607
12115,Sarasota County,Florida,404839,234414,177998,47299,,177998
12117,Seminole County,Florida,449260,186869,161371,55255,10.290310116,161371
12119,Sumter County,Florida,116754,66983,52360,5167,,52360
12121,Suwannee County,Florida,43814,19214,15291,4471,1.414330452,15291
12123,Taylor County,Florida,22350,11047,7406,1537,,7406
12125,Union County,Florida,15300,4554,3946,1273,0.613517671,3946
12127,Volusia County,Florida,518660,258019,209885,64186,,209885
12129,Wakulla County,Florida,31586,13185,11075,2172,,11075
12131,Walton County,Florida,63457,49446,25449,7328,,25449
12133,Washington County,Florida,24472,10839,8558,1809,1.387269414,8558
37001,Alamance County,North Carolina,157844,69049,63035,21822,5.735332656,63035
37003,Alexander County,North Carolina,37159,16372,13744,3362,0.94024987,13744
37005,Alleghany County,North Carolina,10935,8143,4742,1184,0.582017709,4742
37007,Anson County,North Carolina,25531,11584,9647,3380,1.321159162,9647
37009,Ashe County,North Carolina,26833,17578,11995,3112,1.246010584,11995
37011,Avery County,North Carolina,17535,14110,6725,1549,0.846336782,6725
37013,Beaufort County,North Carolina,47316,25773,18978,5539,2.087346983,18978
37015,Bertie County,North Carolina,19913,9853,7988,2106,0.899326416,7988
37017,Bladen County,North Carolina,34130,17830,14394,4481,1.486963923,14394
37019,Brunswick County,North Carolina,122586,84702,53104,12121,,53104
37021,Buncombe County,North Carolina,252268,119412,105407,38287,7.337172941,105407
37023,Burke County,North Carolina,88898,40989,34568,9835,3.316000778,34568
37025,Cabarrus County,North Carolina,196716,76784,70598,20589,4.24616825,70598
37027,Caldwell County,North Carolina,81805,37904,32150,9118,2.940265914,32150
37029,Camden County,North Carolina,10336,4197,3796,754,0.158732265,3796
37031,Carteret County,North Carolina,68699,49580,30000,8199,,30000
37033,Caswell County,North Carolina,22833,10748,9160,2162,1.226698625,9160
37035,Catawba County,North Carolina,156182,68445,60238,18497,4.347126759,60238
37037,Chatham County,North Carolina,68364,30814,28148,6696,1.745820353,28148
37039,Cherokee County,North Carolina,27463,17961,11206,2241,1.228689677,11206
37041,Chowan County,North Carolina,14370,7294,5903,1593,0.534219681,5903
37043,Clay County,North Carolina,10753,7301,5049,1125,0.344982516,5049
37045,Cleveland County,North Carolina,97038,43498,37782,12327,4.307902362,37782
