"Fact","Fact Note","Adjuntas Municipio, Puerto Rico","Value Note for Adjuntas Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","17,363",""
"Population estimates base, April 1, 2010,  (V2019)","","19,483",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-10.9%",""
"Population, Census, April 1, 2010","","19,483",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","19.0%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","51.2%",""
"White alone, percent","","73.4%",""
"Black or African American alone, percent","(a)","1.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent","(b)","99.7%",""
"White alone, not Hispanic or Latino, percent","","0.3%",""
"Veterans, 2015-2019","","297",""
"Foreign born persons, percent, 2015-2019","","0.2%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","59.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$83,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$778",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$119",""
"Median gross rent, 2015-2019","","$380",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","5,771",""
"Persons per household, 2015-2019","","3.09",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","95.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","94.8%",""
"Households with a computer, percent, 2015-2019","","59.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","52.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","65.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","16.9%",""
"With a disability, under age 65 years, percent, 2015-2019","","15.8%",""
"Persons  without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","39.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","33.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","4,944",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","8,586",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","764",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","31,451",""
"Total retail sales per capita, 2012","(c)","$1,625",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.2",""
"Median household income (in 2019 dollars), 2015-2019","","$14,012",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$7,595",""
"Persons in poverty, percent","","62.0%",""
"Total employer establishments, 2018","","127",""
"Total employment, 2018","","911",""
"Total annual payroll, 2018 ($1,000)","","16,065",""
"Total employment, percent change, 2017-2018","","-3.4%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","292.1",""
"Land area in square miles, 2010","","66.69",""
"FIPS Code","","""72001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
