"Fact","Fact Note","Hatillo Municipio, Puerto Rico","Value Note for Hatillo Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","39,218",""
"Population estimates base, April 1, 2010,  (V2019)","","41,953",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-6.5%",""
"Population, Census, April 1, 2010","","41,953",""
"Persons under 5 years, percent","","3.1%",""
"Persons under 18 years, percent","","17.1%",""
"Persons 65 years and over, percent","","21.1%",""
"Female persons, percent","","52.1%",""
"White alone, percent","","97.6%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.6%",""
"Hispanic or Latino, percent","(b)","99.6%",""
"White alone, not Hispanic or Latino, percent","","0.2%",""
"Veterans, 2015-2019","","740",""
"Foreign born persons, percent, 2015-2019","","0.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","74.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$93,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$818",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$146",""
"Median gross rent, 2015-2019","","$456",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","14,160",""
"Persons per household, 2015-2019","","2.81",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","98.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.3%",""
"Households with a computer, percent, 2015-2019","","65.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","60.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","72.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","24.6%",""
"With a disability, under age 65 years, percent, 2015-2019","","7.6%",""
"Persons  without health insurance, under age 65 years, percent","","7.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","40.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","34.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","45,094",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","25,229",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","208,566",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","99,792",""
"Total retail sales, 2012 ($1,000)","(c)","614,679",""
"Total retail sales per capita, 2012","(c)","$14,569",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","28.1",""
"Median household income (in 2019 dollars), 2015-2019","","$17,715",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,144",""
"Persons in poverty, percent","","45.4%",""
"Total employer establishments, 2018","","472",""
"Total employment, 2018","","6,874",""
"Total annual payroll, 2018 ($1,000)","","149,048",""
"Total employment, percent change, 2017-2018","","0.9%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,004.1",""
"Land area in square miles, 2010","","41.78",""
"FIPS Code","","""72065""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
