"Fact","Fact Note","Las Marías Municipio, Puerto Rico","Value Note for Las Marías Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","7,927",""
"Population estimates base, April 1, 2010,  (V2019)","","9,881",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-19.8%",""
"Population, Census, April 1, 2010","","9,881",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","19.3%",""
"Persons 65 years and over, percent","","21.8%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","47.6%",""
"Black or African American alone, percent","(a)","0.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.6%",""
"Hispanic or Latino, percent","(b)","99.6%",""
"White alone, not Hispanic or Latino, percent","","0.4%",""
"Veterans, 2015-2019","","171",""
"Foreign born persons, percent, 2015-2019","","0.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","71.6%",""
"Median value of owner-occupied housing units, 2015-2019","","$84,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$654",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$109",""
"Median gross rent, 2015-2019","","$284",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","2,708",""
"Persons per household, 2015-2019","","3.06",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","92.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","99.1%",""
"Households with a computer, percent, 2015-2019","","44.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","38.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","54.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","16.6%",""
"With a disability, under age 65 years, percent, 2015-2019","","4.1%",""
"Persons  without health insurance, under age 65 years, percent","","2.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","33.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","28.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","560",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","5,136",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","10,261",""
"Total retail sales per capita, 2012","(c)","$1,072",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.5",""
"Median household income (in 2019 dollars), 2015-2019","","$14,135",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$7,585",""
"Persons in poverty, percent","","50.6%",""
"Total employer establishments, 2018","","47",""
"Total employment, 2018","","362",""
"Total annual payroll, 2018 ($1,000)","","4,488",""
"Total employment, percent change, 2017-2018","","-31.3%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","213.1",""
"Land area in square miles, 2010","","46.36",""
"FIPS Code","","""72083""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
