"Fact","Fact Note","Luquillo Municipio, Puerto Rico","Value Note for Luquillo Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","17,665",""
"Population estimates base, April 1, 2010,  (V2019)","","20,068",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-12.0%",""
"Population, Census, April 1, 2010","","20,068",""
"Persons under 5 years, percent","","3.4%",""
"Persons under 18 years, percent","","17.8%",""
"Persons 65 years and over, percent","","22.4%",""
"Female persons, percent","","53.2%",""
"White alone, percent","","60.3%",""
"Black or African American alone, percent","(a)","9.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent","(b)","98.7%",""
"White alone, not Hispanic or Latino, percent","","0.9%",""
"Veterans, 2015-2019","","570",""
"Foreign born persons, percent, 2015-2019","","2.2%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","71.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$111,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$791",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$155",""
"Median gross rent, 2015-2019","","$461",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","6,582",""
"Persons per household, 2015-2019","","2.75",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","92.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","94.5%",""
"Households with a computer, percent, 2015-2019","","76.4%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","71.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","77.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","20.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","17.4%",""
"Persons  without health insurance, under age 65 years, percent","","9.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","48.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","43.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","10,783",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","4,357",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","41,351",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","55,988",""
"Total retail sales per capita, 2012","(c)","$2,805",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","32.4",""
"Median household income (in 2019 dollars), 2015-2019","","$21,850",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,123",""
"Persons in poverty, percent","","42.6%",""
"Total employer establishments, 2018","","147",""
"Total employment, 2018","","1,408",""
"Total annual payroll, 2018 ($1,000)","","36,805",""
"Total employment, percent change, 2017-2018","","-13.2%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","777.5",""
"Land area in square miles, 2010","","25.81",""
"FIPS Code","","""72089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
