"Fact","Fact Note","Orocovis Municipio, Puerto Rico","Value Note for Orocovis Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","20,220",""
"Population estimates base, April 1, 2010,  (V2019)","","23,423",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-13.7%",""
"Population, Census, April 1, 2010","","23,423",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","19.6%",""
"Persons 65 years and over, percent","","17.9%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","80.8%",""
"Black or African American alone, percent","(a)","3.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.8%",""
"Hispanic or Latino, percent","(b)","99.6%",""
"White alone, not Hispanic or Latino, percent","","0.3%",""
"Veterans, 2015-2019","","180",""
"Foreign born persons, percent, 2015-2019","","1.2%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","66.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$84,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$694",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$140",""
"Median gross rent, 2015-2019","","$388",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","6,759",""
"Persons per household, 2015-2019","","3.08",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","93.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.5%",""
"Households with a computer, percent, 2015-2019","","60.4%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","57.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","67.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","17.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","22.7%",""
"Persons  without health insurance, under age 65 years, percent","","3.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","40.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","34.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","6,648",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","5,099",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","5,312",""
"Total retail sales, 2012 ($1,000)","(c)","29,788",""
"Total retail sales per capita, 2012","(c)","$1,290",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","33.2",""
"Median household income (in 2019 dollars), 2015-2019","","$15,099",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$8,299",""
"Persons in poverty, percent","","56.2%",""
"Total employer establishments, 2018","","166",""
"Total employment, 2018","","1,404",""
"Total annual payroll, 2018 ($1,000)","","23,754",""
"Total employment, percent change, 2017-2018","","-7.0%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","368.2",""
"Land area in square miles, 2010","","63.62",""
"FIPS Code","","""72107""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
