"Fact","Fact Note","Sabana Grande Municipio, Puerto Rico","Value Note for Sabana Grande Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","21,712",""
"Population estimates base, April 1, 2010,  (V2019)","","25,361",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-14.4%",""
"Population, Census, April 1, 2010","","25,265",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","18.2%",""
"Persons 65 years and over, percent","","23.8%",""
"Female persons, percent","","53.1%",""
"White alone, percent","","70.4%",""
"Black or African American alone, percent","(a)","2.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","99.7%",""
"White alone, not Hispanic or Latino, percent","","0.3%",""
"Veterans, 2015-2019","","622",""
"Foreign born persons, percent, 2015-2019","","0.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","76.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$95,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$725",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$129",""
"Median gross rent, 2015-2019","","$467",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","7,061",""
"Persons per household, 2015-2019","","3.17",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","94.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","90.6%",""
"Households with a computer, percent, 2015-2019","","56.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","45.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","74.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","19.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","22.5%",""
"Persons  without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","41.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","36.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","7,022",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","8,453",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","186,420",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","29,911",""
"Total retail sales per capita, 2012","(c)","$1,202",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.5",""
"Median household income (in 2019 dollars), 2015-2019","","$17,319",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$9,810",""
"Persons in poverty, percent","","46.5%",""
"Total employer establishments, 2018","","168",""
"Total employment, 2018","","1,740",""
"Total annual payroll, 2018 ($1,000)","","34,949",""
"Total employment, percent change, 2017-2018","","5.8%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","705.1",""
"Land area in square miles, 2010","","35.83",""
"FIPS Code","","""72121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
