"Fact","Fact Note","Vega Alta Municipio, Puerto Rico","Value Note for Vega Alta Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","36,061",""
"Population estimates base, April 1, 2010,  (V2019)","","39,951",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-9.7%",""
"Population, Census, April 1, 2010","","39,951",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","19.6%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","71.4%",""
"Black or African American alone, percent","(a)","10.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent","(b)","98.4%",""
"White alone, not Hispanic or Latino, percent","","0.9%",""
"Veterans, 2015-2019","","635",""
"Foreign born persons, percent, 2015-2019","","1.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","68.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$114,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$927",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$167",""
"Median gross rent, 2015-2019","","$521",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","11,918",""
"Persons per household, 2015-2019","","3.06",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","93.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","96.1%",""
"Households with a computer, percent, 2015-2019","","69.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","55.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","73.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","22.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","13.8%",""
"Persons  without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","43.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","37.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","17,941",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","24,540",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","95,013",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","109,867",""
"Total retail sales, 2012 ($1,000)","(c)","150,453",""
"Total retail sales per capita, 2012","(c)","$3,767",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","32.7",""
"Median household income (in 2019 dollars), 2015-2019","","$20,048",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,735",""
"Persons in poverty, percent","","45.9%",""
"Total employer establishments, 2018","","407",""
"Total employment, 2018","","4,167",""
"Total annual payroll, 2018 ($1,000)","","90,573",""
"Total employment, percent change, 2017-2018","","-4.6%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","1,440.8",""
"Land area in square miles, 2010","","27.73",""
"FIPS Code","","""72143""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
