"Fact","Fact Note","Villalba Municipio, Puerto Rico","Value Note for Villalba Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","21,372",""
"Population estimates base, April 1, 2010,  (V2019)","","26,073",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-18.0%",""
"Population, Census, April 1, 2010","","26,073",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","18.6%",""
"Female persons, percent","","51.7%",""
"White alone, percent","","56.7%",""
"Black or African American alone, percent","(a)","3.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","28.2%",""
"Hispanic or Latino, percent","(b)","99.7%",""
"White alone, not Hispanic or Latino, percent","","0.2%",""
"Veterans, 2015-2019","","431",""
"Foreign born persons, percent, 2015-2019","","0.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","69.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$92,600",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$786",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$133",""
"Median gross rent, 2015-2019","","$405",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","7,908",""
"Persons per household, 2015-2019","","2.82",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","91.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.3%",""
"Households with a computer, percent, 2015-2019","","75.7%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","69.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","78.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","19.9%",""
"With a disability, under age 65 years, percent, 2015-2019","","18.9%",""
"Persons  without health insurance, under age 65 years, percent","","4.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","45.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","41.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","3,943",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","9,379",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","31,708",""
"Total retail sales per capita, 2012","(c)","$1,249",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","30.5",""
"Median household income (in 2019 dollars), 2015-2019","","$19,877",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$10,894",""
"Persons in poverty, percent","","47.8%",""
"Total employer establishments, 2018","","113",""
"Total employment, 2018","","1,776",""
"Total annual payroll, 2018 ($1,000)","","57,263",""
"Total employment, percent change, 2017-2018","","10.7%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","731.6",""
"Land area in square miles, 2010","","35.64",""
"FIPS Code","","""72149""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
