fips_code,county,pop_estimates_2019,pop_estimates_2010,pop_percent_change,pop_census_2010,pop_under_5yrs_percent,pop_under_18yrs_percent,pop_65yrs_over_percent,female_percent,white_alone_percent,black_alone_percent,american_indian_alaska_native_alone_percent,asian_alone_percent,pacific_islander_alone_percent,two_or_more_races_percent,hispanic_percent,white_alone_not_hispanic_percent,veterans,foreign_born_persons_percent,housing_units,owner_occupied_housing_rate,median_value_of_owner_occupied_house,median_monthly_owner_costs_mortgage,median_monthly_owner_cost_no_mortgage,median_gross_rent,building_permits,households,persons_per_household,living_house_year_ago_percent_aged_1yr_over,language_non_english_percent_aged_5yrs,households_computer_percent,households_broadband_percent,high_school_graduate_percent_25yrs_over,bachelors_degree_percent_25yrs_over,disabled_under_65yrs_percent,no_health_insurance_under_65yrs_percent,labor_total_percent_age_16yrs,labor_force_female_percent_age_16yrs,accommodation_food_services_sales,health_care_and_social_revenue,manufacturers_shipments,merchant_wholesaler_sales,retail_sales,retail_sales_per_capita,mean_travel_time_to_work_mins,median_household_income,per_capita_income_past_year,poverty_percent,employer_establishments,employment,annual_payroll,employment_percent_change,nonemployer_establishments,all_firms,male_owned_firms,female_owned_firms,minority_owned_firms,nonminority_owned_firms,veteran_owned_firms,nonveteran_owned_firms,pop_per_square_mile,land_area_square_miles
72001,Adjuntas Municipio,17363,19483,-0.109,19483,0.037,0.19,0.204,0.512,0.734,0.01,0.002,0,0,0.014,0.997,0.003,297,0.002,,0.593,83700,778,119,380,,5771,3.09,0.957,0.948,0.595,0.529,0.653,0.169,0.158,0.082,0.398,0.335,4944,8586,764,,31451,1625,27.2,14012,7595,0.62,127,911,16065,-0.034,,,,,,,,,292.1,66.69
72003,Aguada Municipio,36694,41959,-0.125,41959,0.034,0.167,0.202,0.511,0.853,0.024,0.001,0,0,0.09,0.925,0.067,596,0.007,,0.748,85300,879,128,399,,12830,2.95,0.97,0.956,0.585,0.436,0.657,0.202,0.193,0.071,0.398,0.326,13848,15029,22537,13219,140914,3397,21,16738,9692,0.496,479,2700,40577,-0.008,,,,,,,,,1360.1,30.85
72005,Aguadilla Municipio,50265,60949,-0.175,60949,0.036,0.182,0.225,0.517,0.798,0.03,0.001,0.002,0,0.015,0.976,0.016,2204,0.011,,0.598,118200,813,143,443,,21635,2.37,0.893,0.956,0.718,0.689,0.738,0.239,0.16,0.059,0.395,0.357,46288,125070,1017739,63639,323837,5452,20.8,16269,11298,0.515,811,13158,368800,-0.044,,,,,,,,,1668.5,36.53
72007,Aguas Buenas Municipio,24814,28662,-0.134,28662,0.033,0.179,0.208,0.517,0.546,0.092,0.01,0,0,0.328,0.997,0.003,386,0.006,,0.66,116200,855,128,449,,8488,3.01,0.954,0.956,0.695,0.633,0.707,0.178,0.231,0.091,0.424,0.361,2634,4947,11984,12678,57160,2024,28.8,19279,11097,0.466,133,929,16545,-0.092,,,,,,,,,952.6,30.09
72009,Aibonito Municipio,22108,25900,-0.146,25900,0.039,0.178,0.219,0.521,0.75,0.15,0.001,0.001,0,0.008,0.996,0.002,332,0.009,,0.781,112600,802,137,470,,8592,2.67,0.943,0.953,0.517,0.681,0.781,0.218,0.209,0.043,0.385,0.34,6044,41364,,6824,89579,3519,25.1,20521,11363,0.436,271,3274,75442,-0.055,,,,,,,,,827.2,31.31
72011,Añasco Municipio,26161,29261,-0.106,29261,0.031,0.168,0.213,0.517,0.822,0.019,0,0,0,0.077,0.951,0.044,425,0.004,,0.77,87600,756,130,427,,8848,3.03,0.969,0.966,0.657,0.461,0.696,0.189,0.168,0.054,0.416,0.348,18021,6308,400145,146631,74754,2563,20.1,19919,10603,0.46,261,4203,123044,-0.216,,,,,,,,,744.8,39.29
72013,Arecibo Municipio,81966,96440,-0.15,96440,0.037,0.175,0.224,0.524,0.784,0.046,0.003,0.008,0,0.012,0.992,0.006,2033,0.008,,0.662,95300,724,141,411,,31910,2.64,0.923,0.951,0.679,0.599,0.768,0.232,0.141,0.072,0.391,0.346,49092,210530,1573078,33966,380323,4018,26.4,18647,10596,0.474,982,12591,280116,0.019,,,,,,,,,765.7,125.95
72015,Arroyo Municipio,17238,19575,-0.119,19575,0.037,0.202,0.204,0.539,0.641,0.196,0,0,0,0.017,0.998,0.002,139,0.001,,0.785,89400,671,159,471,,5908,3.01,0.877,0.948,0.506,0.625,0.792,0.161,0.176,0.034,0.283,0.291,5879,21848,,,33589,1728,22.2,17570,8611,0.592,74,1418,39955,-0.004,,,,,,,,,1304.3,15.01
72017,Barceloneta Municipio,23727,24816,-0.044,24816,0.039,0.185,0.201,0.527,0.818,0.036,0,0.006,0,0.009,0.995,0.003,402,0.006,,0.716,104600,759,139,481,,7989,3.01,0.93,0.964,0.711,0.553,0.741,0.221,0.135,0.055,0.411,0.391,21524,15585,14311557,27225,301382,12017,25.9,17154,9847,0.486,271,8148,294610,-0.087,,,,,,,,,1327.6,18.69
72019,Barranquitas Municipio,27725,30318,-0.086,30318,0.048,0.211,0.168,0.507,0.858,0.043,0.001,0,0,0.061,0.999,0.001,455,0.004,,0.735,98900,737,140,409,,8720,3.21,0.95,0.945,0.551,0.509,0.727,0.195,0.193,0.046,0.371,0.316,7202,10133,13666,10240,101097,3330,33.9,17036,8537,0.559,225,1524,27067,-0.064,,,,,,,,,885.1,34.25
