fips_code,county,county_name
72001,Adjuntas (Municipio),Adjuntas Municipio
72003,Aguada (Municipio),Aguada Municipio
72005,Aguadilla (Municipio),Aguadilla Municipio
72007,Aguas Buenas (Municipio),Aguas Buenas Municipio
72009,Aibonito (Municipio),Aibonito Municipio
72011,Anasco (Municipio),Añasco Municipio
72013,Arecibo (Municipio),Arecibo Municipio
72015,Arroyo (Municipio),Arroyo Municipio
72017,Barceloneta (Municipio),Barceloneta Municipio
72019,Barranquitas (Municipio),Barranquitas Municipio
72021,Bayamon (Municipio),Bayamón Municipio
72023,Cabo Rojo (Municipio),Cabo Rojo Municipio
72025,Caguas (Municipio),Caguas Municipio
72027,Camuy (Municipio),Camuy Municipio
72029,Canovanas (Municipio),Canóvanas Municipio
72031,Carolina (Municipio),Carolina Municipio
72033,Catano (Municipio),Cataño Municipio
72035,Cayey (Municipio),Cayey Municipio
72037,Ceiba (Municipio),Ceiba Municipio
72039,Ciales (Municipio),Ciales Municipio
72041,Cidra (Municipio),Cidra Municipio
72043,Coamo (Municipio),Coamo Municipio
72045,Comerio (Municipio),Comerío Municipio
72047,Corozal (Municipio),Corozal Municipio
72049,Culebra (Municipio),Culebra Municipio
72051,Dorado (Municipio),Dorado Municipio
72053,Fajardo (Municipio),Fajardo Municipio
72054,Florida (Municipio),Florida Municipio
72055,Guanica (Municipio),Guánica Municipio
72057,Guayama (Municipio),Guayama Municipio
72059,Guayanilla (Municipio),Guayanilla Municipio
72061,Guaynabo (Municipio),Guaynabo Municipio
72063,Gurabo (Municipio),Gurabo Municipio
72065,Hatillo (Municipio),Hatillo Municipio
72067,Hormigueros (Municipio),Hormigueros Municipio
72069,Humacao (Municipio),Humacao Municipio
72071,Isabela (Municipio),Isabela Municipio
72073,Jayuya (Municipio),Jayuya Municipio
72075,Juana Diaz (Municipio),Juana Díaz Municipio
72077,Juncos (Municipio),Juncos Municipio
72079,Lajas (Municipio),Lajas Municipio
72081,Lares (Municipio),Lares Municipio
72083,Las Marias (Municipio),Las Marías Municipio
72085,Las Piedras (Municipio),Las Piedras Municipio
72087,Loiza (Municipio),Loíza Municipio
72089,Luquillo (Municipio),Luquillo Municipio
72091,Manati (Municipio),Manatí Municipio
72093,Maricao (Municipio),Maricao Municipio
72095,Maunabo (Municipio),Maunabo Municipio
72097,Mayaguez (Municipio),Mayagüez Municipio
72099,Moca (Municipio),Moca Municipio
72101,Morovis (Municipio),Morovis Municipio
72103,Naguabo (Municipio),Naguabo Municipio
72105,Naranjito (Municipio),Naranjito Municipio
72107,Orocovis (Municipio),Orocovis Municipio
72109,Patillas (Municipio),Patillas Municipio
72111,Penuelas (Municipio),Peñuelas Municipio
72113,Ponce (Municipio),Ponce Municipio
72115,Quebradillas (Municipio),Quebradillas Municipio
72117,Rincon (Municipio),Rincón Municipio
72119,Rio Grande (Municipio),Río Grande Municipio
72121,Sabana Grande (Municipio),Sabana Grande Municipio
72123,Salinas (Municipio),Salinas Municipio
72125,San German (Municipio),San Germán Municipio
72127,San Juan (Municipio),San Juan Municipio
72129,San Lorenzo (Municipio),San Lorenzo Municipio
72131,San Sebastian (Municipio),San Sebastián Municipio
72133,Santa Isabel (Municipio),Santa Isabel Municipio
72135,Toa Alta (Municipio),Toa Alta Municipio
72137,Toa Baja (Municipio),Toa Baja Municipio
72139,Trujillo Alto (Municipio),Trujillo Alto Municipio
72141,Utuado (Municipio),Utuado Municipio
72143,Vega Alta (Municipio),Vega Alta Municipio
72145,Vega Baja (Municipio),Vega Baja Municipio
72147,Vieques (Municipio),Vieques Municipio
72149,Villalba (Municipio),Villalba Municipio
72151,Yabucoa (Municipio),Yabucoa Municipio
72153,Yauco (Municipio),Yauco Municipio
