fips,county,total_population,total_housing_units,occupied_housing_units,renter_occupied,fmr0,fmr1,fmr2,fmr3,fmr4,metro
12001,Alachua County,259865,115282,97485,45233,624,717,878,1177,1339,1
12003,Baker County,27537,9838,8299,1860,477,645,752,951,1266,1
12005,Bay County,180117,101437,68667,25786,693,813,949,1359,1609,1
12007,Bradford County,26775,11021,8980,2599,532,565,652,949,990,0
12009,Brevard County,568183,274602,227223,63658,561,697,884,1222,1505,1
12011,Broward County,1890416,818382,675828,255048,829,1023,1307,1883,2303,1
12013,Calhoun County,14458,6007,4581,757,505,509,652,916,919,0
12015,Charlotte County,173236,102657,74884,16312,630,661,878,1227,1488,1
12017,Citrus County,141373,78825,62488,11932,576,580,766,1035,1290,1
12019,Clay County,203291,78815,71939,18411,617,791,969,1283,1625,1
12021,Collier County,356774,207403,138131,38507,801,973,1195,1606,1996,1
12023,Columbia County,68484,28806,24722,6671,561,641,740,1001,1096,0
12027,DeSoto County,35675,14999,11744,3654,510,514,673,924,928,0
12029,Dixie County,16323,9369,6431,1400,532,561,652,818,899,0
12031,Duval County,912043,399736,347783,147116,617,791,969,1283,1625,1
12033,Escambia County,309924,139751,117836,46045,741,749,897,1243,1581,1
12035,Flagler County,105015,50279,39433,9064,843,848,1028,1355,1536,1
12037,Franklin County,11675,8645,4327,1145,598,636,734,992,1293,0
12039,Gadsden County,46113,19680,17310,5151,703,736,917,1217,1397,1
12041,Gilchrist County,17191,7436,6399,1170,624,717,878,1177,1339,1
12043,Glades County,13197,6985,4297,1074,546,549,730,913,1006,0
12045,Gulf County,16018,9372,5295,1342,637,749,869,1134,1388,1
12047,Hamilton County,14238,5795,4551,1197,487,491,652,884,899,0
12049,Hardee County,27326,9724,7718,2430,532,565,652,943,1053,0
12051,Hendry County,39064,14670,12098,4183,626,636,768,1016,1163,0
12053,Hernando County,179144,85726,72234,16047,714,815,1014,1341,1609,1
12055,Highlands County,100177,55502,41350,10466,488,561,745,1023,1027,1
12057,Hillsborough County,1351087,563638,505845,212702,714,815,1014,1341,1609,1
12059,Holmes County,19483,8671,7019,1523,532,565,652,833,1100,0
12061,Indian River County,147981,78469,57911,13997,586,701,846,1216,1369,1
12063,Jackson County,48571,21060,17041,5099,532,565,652,890,920,0
12065,Jefferson County,14085,6680,5702,1288,703,736,917,1217,1397,1
12067,Lafayette County,8684,3226,2193,412,532,565,652,949,1149,0
12069,Lake County,326215,151295,127441,33797,766,837,1002,1333,1604,1
12071,Lee County,700165,383224,264325,79758,687,741,920,1194,1331,1
12073,Leon County,285890,127813,112373,53232,703,736,917,1217,1397,1
12075,Levy County,39713,20327,15806,3958,539,551,652,891,1056,0
12077,Liberty County,8347,3522,2325,574,532,565,652,916,919,0
12079,Madison County,18518,8571,6743,1637,414,565,652,819,919,0
12081,Manatee County,363542,183774,140255,40155,769,827,1063,1459,1772,1
12083,Marion County,343778,166357,134747,33233,633,675,820,1103,1190,1
12085,Martin County,155719,79523,63497,14855,801,831,1034,1444,1777,1
12086,Miami-Dade County,2702602,1008908,858289,410278,831,1020,1295,1728,2073,1
12087,Monroe County,76745,53378,30198,12474,1067,1266,1682,2110,2370,0
12089,Nassau County,78435,37177,30454,6766,617,791,969,1283,1625,1
12091,Okaloosa County,197591,95651,76574,28112,754,810,961,1382,1680,1
12093,Okeechobee County,40228,18598,13333,3703,514,518,688,893,1051,0
12095,Orange County,1290216,517631,451960,205585,766,837,1002,1333,1604,1
12097,Osceola County,325168,139796,96250,38110,766,837,1002,1333,1604,1
12099,Palm Beach County,1426772,678673,543591,170914,869,1093,1370,1878,2228,1
12101,Pasco County,498136,237481,195818,54991,714,815,1014,1341,1609,1
12103,Pinellas County,949842,506468,406871,141243,714,815,1014,1341,1609,1
12105,Polk County,652256,288797,226604,71901,636,640,838,1111,1407,1
12107,Putnam County,72435,37251,27951,7630,577,592,698,904,1048,0
12109,St. Johns County,226578,100322,83744,19239,617,791,969,1283,1625,1
12111,St. Lucie County,298763,138923,110043,30563,801,831,1034,1444,1777,1
12113,Santa Rosa County,166778,69166,60607,15571,741,749,897,1243,1581,1
12115,Sarasota County,404839,234414,177998,47299,769,827,1063,1459,1772,1
12117,Seminole County,449260,186869,161371,55255,766,837,1002,1333,1604,1
12119,Sumter County,116754,66983,52360,5167,527,581,734,1065,1078,1
12121,Suwannee County,43814,19214,15291,4471,532,542,652,903,1060,0
12123,Taylor County,22350,11047,7406,1537,532,563,652,916,919,0
12125,Union County,15300,4554,3946,1273,532,565,652,866,1149,0
12127,Volusia County,518660,258019,209885,64186,608,764,959,1298,1454,1
12129,Wakulla County,31586,13185,11075,2172,635,719,829,1081,1229,1
12131,Walton County,63457,49446,25449,7328,682,715,825,1201,1454,1
12133,Washington County,24472,10839,8558,1809,487,491,652,916,919,0
37001,Alamance County,157844,69049,63035,21822,652,668,838,1143,1238,1
37003,Alexander County,37159,16372,13744,3362,562,565,680,872,1023,1
37005,Alleghany County,10935,8143,4742,1184,509,512,642,882,885,0
37007,Anson County,25531,11584,9647,3380,530,556,642,897,1131,0
37009,Ashe County,26833,17578,11995,3112,480,483,642,935,1018,0
37011,Avery County,17535,14110,6725,1549,556,560,744,959,1173,0
37013,Beaufort County,47316,25773,18978,5539,530,531,642,928,931,0
37015,Bertie County,19913,9853,7988,2106,530,556,642,818,907,0
37017,Bladen County,34130,17830,14394,4481,480,483,642,806,885,0
37019,Brunswick County,122586,84702,53104,12121,729,765,883,1130,1258,1
37021,Buncombe County,252268,119412,105407,38287,709,713,891,1194,1553,1
37023,Burke County,88898,40989,34568,9835,562,565,680,872,1023,1
37025,Cabarrus County,196716,76784,70598,20589,703,784,907,1230,1560,1
37027,Caldwell County,81805,37904,32150,9118,562,565,680,872,1023,1
