fips,county,occupied_housing_units_rate,vacant_housing_units_rate,owner_occupied_rate,fmr0,fmr1,fmr2,fmr3,fmr4,metro
12001,Alachua County,0.845622039867456,0.154377960132545,0.536000410319536,624,717,878,1177,1339,1
12003,Baker County,0.843565765399472,0.156434234600529,0.775876611639957,477,645,752,951,1266,1
12005,Bay County,0.676942338594398,0.323057661405602,0.624477551079849,693,813,949,1359,1609,1
12007,Bradford County,0.814808093639416,0.185191906360584,0.710579064587973,532,565,652,949,990,0
12009,Brevard County,0.827463019205978,0.172536980794022,0.719843501758185,561,697,884,1222,1505,1
12011,Broward County,0.825809951831785,0.174190048168215,0.622614037891298,829,1023,1307,1883,2303,1
12013,Calhoun County,0.762610287997337,0.237389712002664,0.834752237502729,505,509,652,916,919,0
12015,Charlotte County,0.729458293150979,0.270541706849022,0.782169755889109,630,661,878,1227,1488,1
12017,Citrus County,0.792743418966064,0.207256581033936,0.809051337856869,576,580,766,1035,1290,1
12019,Clay County,0.912757723783544,0.0872422762164563,0.744074841184893,617,791,969,1283,1625,1
12021,Collier County,0.66600290256168,0.333997097438321,0.721228399128364,801,973,1195,1606,1996,1
12023,Columbia County,0.858223981115046,0.141776018884955,0.730159372219076,561,641,740,1001,1096,0
12027,DeSoto County,0.782985532368825,0.217014467631175,0.688862397820163,510,514,673,924,928,0
12029,Dixie County,0.686412637421283,0.313587362578717,0.782304462758513,532,561,652,818,899,0
12031,Duval County,0.870031720935818,0.129968279064182,0.576989099524704,617,791,969,1283,1625,1
12033,Escambia County,0.843185379711058,0.156814620288942,0.609245052445772,741,749,897,1243,1581,1
12035,Flagler County,0.784283696970902,0.215716303029098,0.770141759440063,843,848,1028,1355,1536,1
12037,Franklin County,0.500520532099479,0.499479467900521,0.735382482089207,598,636,734,992,1293,0
12039,Gadsden County,0.879573170731707,0.120426829268293,0.702426343154246,703,736,917,1217,1397,1
12041,Gilchrist County,0.860543302850995,0.139456697149005,0.817158931082982,624,717,878,1177,1339,1
12043,Glades County,0.615175375805297,0.384824624194703,0.750058180125669,546,549,730,913,1006,0
12045,Gulf County,0.564980793854033,0.435019206145967,0.746553352219075,637,749,869,1134,1388,1
12047,Hamilton County,0.785332182916307,0.214667817083693,0.736980883322347,487,491,652,884,899,0
12049,Hardee County,0.793706293706294,0.206293706293706,0.685151593677118,532,565,652,943,1053,0
12051,Hendry County,0.824676209952284,0.175323790047716,0.654240370309142,626,636,768,1016,1163,0
12053,Hernando County,0.842614842638173,0.157385157361827,0.777846997258909,714,815,1014,1341,1609,1
12055,Highlands County,0.745018197542431,0.254981802457569,0.74689238210399,488,561,745,1023,1027,1
12057,Hillsborough County,0.897464329942268,0.102535670057732,0.579511510442922,714,815,1014,1341,1609,1
12059,Holmes County,0.809479875446892,0.190520124553108,0.783017523863798,532,565,652,833,1100,0
12061,Indian River County,0.738011189132014,0.261988810867986,0.758301531660652,586,701,846,1216,1369,1
12063,Jackson County,0.809164292497626,0.190835707502374,0.700780470629658,532,565,652,890,920,0
12065,Jefferson County,0.853592814371257,0.146407185628743,0.774114345843564,703,736,917,1217,1397,1
12067,Lafayette County,0.679789212647241,0.320210787352759,0.812129502963976,532,565,652,949,1149,0
12069,Lake County,0.842334512046003,0.157665487953997,0.734802771478567,766,837,1002,1333,1604,1
12071,Lee County,0.689740204162579,0.310259795837422,0.698257826539298,687,741,920,1194,1331,1
12073,Leon County,0.87919851658282,0.12080148341718,0.526291902859228,703,736,917,1217,1397,1
12075,Levy County,0.777586461356816,0.222413538643184,0.749588763760597,539,551,652,891,1056,0
12077,Liberty County,0.660136286201022,0.339863713798978,0.753118279569893,532,565,652,916,919,0
12079,Madison County,0.786722669466807,0.213277330533193,0.757229719709328,414,565,652,819,919,0
12081,Manatee County,0.763192834677375,0.236807165322625,0.713700046344159,769,827,1063,1459,1772,1
12083,Marion County,0.809986955763809,0.190013044236191,0.753367421909208,633,675,820,1103,1190,1
12085,Martin County,0.798473397633389,0.201526602366611,0.766051939461707,801,831,1034,1444,1777,1
12086,Miami-Dade County,0.850710867591495,0.149289132408505,0.521981523705885,831,1020,1295,1728,2073,1
12087,Monroe County,0.565738693843906,0.434261306156094,0.58692628650904,1067,1266,1682,2110,2370,0
12089,Nassau County,0.819162385345778,0.180837614654222,0.777828856636238,617,791,969,1283,1625,1
12091,Okaloosa County,0.800556188644133,0.199443811355867,0.632878000365659,754,810,961,1382,1680,1
12093,Okeechobee County,0.71690504355307,0.28309495644693,0.722268056701418,514,518,688,893,1051,0
12095,Orange County,0.87313163237905,0.12686836762095,0.545125674838481,766,837,1002,1333,1604,1
12097,Osceola County,0.688503247589344,0.311496752410656,0.604051948051948,766,837,1002,1333,1604,1
12099,Palm Beach County,0.80096158238209,0.19903841761791,0.685583462566525,869,1093,1370,1878,2228,1
12101,Pasco County,0.824562807129834,0.175437192870166,0.719172905453023,714,815,1014,1341,1609,1
12103,Pinellas County,0.80334986613172,0.19665013386828,0.652855573388126,714,815,1014,1341,1609,1
12105,Polk County,0.784648039972714,0.215351960027286,0.682701982312757,636,640,838,1111,1407,1
12107,Putnam County,0.750342272690666,0.249657727309334,0.72702228900576,577,592,698,904,1048,0
12109,St. Johns County,0.834752098243656,0.165247901756345,0.770264138326328,617,791,969,1283,1625,1
