ID,Lat,LongW,Vg (mph),Vsust (mph),Lon
17089,17.68,64.900002,141.43,115.62,-64.900002
17090,17.68,64.889999,150.43,124.99,-64.889999
17531,17.690001,64.889999,137.77,111.36,-64.889999
17532,17.690001,64.879997,137.16,111.12,-64.879997
17533,17.690001,64.870003,136.13,109.95,-64.870003
17534,17.690001,64.860001,135.72,110.16,-64.860001
17535,17.690001,64.849998,133.32,107.14,-64.849998
17536,17.690001,64.839996,132.89,107.35,-64.839996
17537,17.690001,64.830002,132.53,107.66,-64.830002
17538,17.690001,64.82,132.32,108.38,-64.82
17539,17.690001,64.809998,135.45,112.65,-64.809998
17973,17.700001,64.879997,134.3,107.33,-64.879997
17974,17.700001,64.870003,133.19,106.34,-64.870003
17975,17.700001,64.860001,132.3,105.28,-64.860001
17976,17.700001,64.849998,131.51,104.9,-64.849998
17977,17.700001,64.839996,130.62,104.41,-64.839996
17978,17.700001,64.830002,129.83,104.1,-64.830002
17979,17.700001,64.82,129.08,103.77,-64.82
17980,17.700001,64.809998,128.42,103.62,-64.809998
17981,17.700001,64.800003,127.34,103.03,-64.800003
17982,17.700001,64.790001,126.87,102.64,-64.790001
17983,17.700001,64.779999,126.95,103.64,-64.779999
17985,17.700001,64.760002,125.67,103.4,-64.760002
17989,17.700001,64.720001,119.29,97.48,-64.720001
18414,17.709999,64.879997,132.55,104.9,-64.879997
18415,17.709999,64.870003,131.69,104.32,-64.870003
18416,17.709999,64.860001,130.81,103.68,-64.860001
18417,17.709999,64.849998,129.86,103.02,-64.849998
18418,17.709999,64.839996,128.87,102.32,-64.839996
18419,17.709999,64.830002,128.01,101.83,-64.830002
18420,17.709999,64.82,127.22,101.51,-64.82
18421,17.709999,64.809998,126.1,100.64,-64.809998
18422,17.709999,64.800003,125.32,100.04,-64.800003
18423,17.709999,64.790001,124.28,99.69,-64.790001
18424,17.709999,64.779999,123.31,98.63,-64.779999
18425,17.709999,64.769997,122.52,98.38,-64.769997
18426,17.709999,64.760002,121.95,98.54,-64.760002
18427,17.709999,64.75,120.05,97.48,-64.75
18428,17.709999,64.739998,118.53,95.27,-64.739998
18429,17.709999,64.730003,117.25,94.02,-64.730003
18430,17.709999,64.720001,116.67,93.96,-64.720001
18431,17.709999,64.709999,115.96,93.47,-64.709999
18432,17.709999,64.699997,115.55,93.42,-64.699997
18433,17.709999,64.690002,115.68,94.07,-64.690002
18855,17.719999,64.879997,131.1,103.53,-64.879997
18856,17.719999,64.870003,130.25,102.88,-64.870003
18857,17.719999,64.860001,129.31,102.32,-64.860001
18858,17.719999,64.849998,128.34,101.49,-64.849998
18859,17.719999,64.839996,127.4,100.76,-64.839996
18860,17.719999,64.830002,126.48,100.14,-64.830002
18861,17.719999,64.82,125.46,99.4,-64.82
18862,17.719999,64.809998,124.69,99.1,-64.809998
18863,17.719999,64.800003,123.45,98.02,-64.800003
18864,17.719999,64.790001,122.54,97.36,-64.790001
18865,17.719999,64.779999,121.31,96.66,-64.779999
18866,17.719999,64.769997,120.11,95.87,-64.769997
