,ID,Lat,LongW,Vg (mph),Vsust (mph),Lon,block_fips,county_fips,county_name,state_fips,state_code,tract_id
189,26188,17.889999,66.519997,94.07,76.0,-66.519997,721130723002131,72113,Ponce,72,PR,72113072300
190,27537,17.92,66.260002,111.87,92.11,-66.260002,721239532002140,72123,Salinas,72,PR,72123953200
191,27894,17.93,67.099998,76.6,62.0,-67.099998,720799911000002,72079,Lajas,72,PR,72079991100
192,27895,17.93,67.089996,77.74,63.49,-67.089996,720799911000002,72079,Lajas,72,PR,72079991100
193,27909,17.93,66.949997,82.44,66.22,-66.949997,720559615002023,72055,Guanica,72,PR,72055961500
194,27910,17.93,66.940002,81.77,64.71,-66.940002,720559615002023,72055,Guanica,72,PR,72055961500
195,27911,17.93,66.93,81.95,64.63,-66.93,720559615003036,72055,Guanica,72,PR,72055961500
196,27980,17.93,66.239998,114.5,95.02,-66.239998,721239532002132,72123,Salinas,72,PR,72123953200
197,27984,17.93,66.199997,113.6,91.33,-66.199997,720572702011072,72057,Guayama,72,PR,72057270201
198,28336,17.940001000000002,67.089996,82.25,67.7,-67.089996,720799911000002,72079,Lajas,72,PR,72079991100
199,28344,17.940001000000002,67.010002,80.56,65.07,-67.010002,720799911000002,72079,Lajas,72,PR,72079991100
200,28349,17.940001000000002,66.959999,81.78,65.12,-66.959999,720559615002023,72055,Guanica,72,PR,72055961500
201,28350,17.940001000000002,66.949997,80.77,63.44,-66.949997,720559615002022,72055,Guanica,72,PR,72055961500
202,28351,17.940001000000002,66.940002,82.01,64.71,-66.940002,720559615003036,72055,Guanica,72,PR,72055961500
203,28416,17.940001000000002,66.290001,110.99,91.22,-66.290001,721239532001064,72123,Salinas,72,PR,72123953200
204,28424,17.940001000000002,66.209999,115.82,95.01,-66.209999,720572702011065,72057,Guayama,72,PR,72057270201
205,28425,17.940001000000002,66.199997,117.25,96.55,-66.199997,720572702011072,72057,Guayama,72,PR,72057270201
206,28429,17.940001000000002,66.160004,113.58,88.97,-66.160004,720572702011051,72057,Guayama,72,PR,72057270201
207,28430,17.940001000000002,66.150002,113.95,89.26,-66.150002,720572702011107,72057,Guayama,72,PR,72057270201
208,28431,17.940001000000002,66.139999,114.5,89.69,-66.139999,720572702011006,72057,Guayama,72,PR,72057270201
209,28765,17.950001,67.209999,73.8,59.85,-67.209999,720239800001008,72023,Cabo Rojo,72,PR,72023980000
210,28766,17.950001,67.199997,73.08,58.41,-67.199997,720239800001007,72023,Cabo Rojo,72,PR,72023980000
211,28772,17.950001,67.139999,73.89,58.05,-67.139999,720238306033106,72023,Cabo Rojo,72,PR,72023830603
212,28773,17.950001,67.129997,74.17,58.24,-67.129997,720238306033108,72023,Cabo Rojo,72,PR,72023830603
213,28774,17.950001,67.120003,74.45,58.43,-67.120003,720238306033064,72023,Cabo Rojo,72,PR,72023830603
214,28775,17.950001,67.110001,76.31,62.74,-67.110001,720238306033064,72023,Cabo Rojo,72,PR,72023830603
215,28776,17.950001,67.099998,75.02,58.83,-67.099998,720798504003071,72079,Lajas,72,PR,72079850400
216,28781,17.950001,67.050003,80.37,65.8,-67.050003,720799911000002,72079,Lajas,72,PR,72079991100
217,28788,17.950001,66.980003,82.5,66.7,-66.980003,720559615002023,72055,Guanica,72,PR,72055961500
218,28789,17.950001,66.970001,81.84,65.25,-66.970001,720559615002017,72055,Guanica,72,PR,72055961500
219,28790,17.950001,66.959999,80.79,63.77,-66.959999,720559615002008,72055,Guanica,72,PR,72055961500
220,28791,17.950001,66.949997,81.22,63.53,-66.949997,720559615002006,72055,Guanica,72,PR,72055961500
221,28792,17.950001,66.940002,81.62,63.83,-66.940002,720559615003051,72055,Guanica,72,PR,72055961500
222,28793,17.950001,66.93,81.89,63.97,-66.93,720559615003027,72055,Guanica,72,PR,72055961500
223,28794,17.950001,66.91999799999999,82.31,64.3,-66.91999799999999,720559615003035,72055,Guanica,72,PR,72055961500
224,28796,17.950001,66.900002,85.49,68.65,-66.900002,720559611001065,72055,Guanica,72,PR,72055961100
225,28797,17.950001,66.889999,83.65,65.43,-66.889999,720559611001076,72055,Guanica,72,PR,72055961100
226,28798,17.950001,66.879997,83.94,65.59,-66.879997,720559611001076,72055,Guanica,72,PR,72055961100
227,28799,17.950001,66.870003,84.32,65.89,-66.870003,720559611001102,72055,Guanica,72,PR,72055961100
228,28801,17.950001,66.849998,85.0,67.69,-66.849998,720597404001010,72059,Guayanilla,72,PR,72059740400
229,28802,17.950001,66.839996,85.34,66.69,-66.839996,720597404001010,72059,Guayanilla,72,PR,72059740400
230,28846,17.950001,66.400002,102.17,79.96,-66.400002,721339536002101,72133,Santa Isabel,72,PR,72133953600
231,28847,17.950001,66.389999,102.56,80.26,-66.389999,721339536002082,72133,Santa Isabel,72,PR,72133953600
232,28857,17.950001,66.290001,111.83,91.72,-66.290001,721239532001061,72123,Salinas,72,PR,72123953200
233,28858,17.950001,66.279999,107.22,83.95,-66.279999,721239532001046,72123,Salinas,72,PR,72123953200
234,28859,17.950001,66.269997,107.56,84.21,-66.269997,721239532001036,72123,Salinas,72,PR,72123953200
235,28860,17.950001,66.260002,107.84,84.43,-66.260002,721239532002013,72123,Salinas,72,PR,72123953200
236,28861,17.950001,66.25,107.95,84.52,-66.25,721239532002013,72123,Salinas,72,PR,72123953200
237,28862,17.950001,66.239998,108.36,84.84,-66.239998,721239532002013,72123,Salinas,72,PR,72123953200
238,28863,17.950001,66.230003,109.14,85.46,-66.230003,721239532002118,72123,Salinas,72,PR,72123953200
239,28868,17.950001,66.18,113.1,88.59,-66.18,720572702011069,72057,Guayama,72,PR,72057270201
240,28869,17.950001,66.16999799999999,113.69,89.05,-66.16999799999999,720572707003000,72057,Guayama,72,PR,72057270700
241,28870,17.950001,66.160004,114.13,89.4,-66.160004,720572702011049,72057,Guayama,72,PR,72057270201
242,28871,17.950001,66.150002,114.53,89.72,-66.150002,720572702011045,72057,Guayama,72,PR,72057270201
243,28872,17.950001,66.139999,114.94,90.04,-66.139999,720572702011007,72057,Guayama,72,PR,72057270201
244,28873,17.950001,66.129997,115.82,90.74,-66.129997,720572702011022,72057,Guayama,72,PR,72057270201
245,28874,17.950001,66.120003,116.62,91.37,-66.120003,720572702011007,72057,Guayama,72,PR,72057270201
246,28875,17.950001,66.110001,117.36,91.95,-66.110001,720572702011004,72057,Guayama,72,PR,72057270201
247,28881,17.950001,66.050003,119.8,93.88,-66.050003,720159915000002,72015,Arroyo,72,PR,72015991500
248,29206,17.959999,67.209999,74.03,59.98,-67.209999,720239800001020,72023,Cabo Rojo,72,PR,72023980000
249,29207,17.959999,67.199997,73.48,58.78,-67.199997,720238306044021,72023,Cabo Rojo,72,PR,72023830604
250,29208,17.959999,67.190002,73.3,58.19,-67.190002,720239800001000,72023,Cabo Rojo,72,PR,72023980000
251,29211,17.959999,67.160004,73.78,58.13,-67.160004,720238306033090,72023,Cabo Rojo,72,PR,72023830603
252,29212,17.959999,67.150002,74.05,58.28,-67.150002,720238306033092,72023,Cabo Rojo,72,PR,72023830603
253,29213,17.959999,67.139999,74.34,58.47,-67.139999,720238306033092,72023,Cabo Rojo,72,PR,72023830603
254,29214,17.959999,67.129997,74.61,58.65,-67.129997,720238306033068,72023,Cabo Rojo,72,PR,72023830603
255,29215,17.959999,67.120003,74.9,58.86,-67.120003,720238306033064,72023,Cabo Rojo,72,PR,72023830603
256,29216,17.959999,67.110001,75.16,59.02,-67.110001,720238306033064,72023,Cabo Rojo,72,PR,72023830603
257,29217,17.959999,67.099998,75.4,59.16,-67.099998,720798504002038,72079,Lajas,72,PR,72079850400
258,29218,17.959999,67.089996,75.54,59.17,-67.089996,720798504003085,72079,Lajas,72,PR,72079850400
259,29229,17.959999,66.980003,81.07,65.37,-66.980003,720798501012056,72079,Lajas,72,PR,72079850101
260,29230,17.959999,66.970001,80.54,62.91,-66.970001,720559615002003,72055,Guanica,72,PR,72055961500
261,29231,17.959999,66.959999,81.01,63.28,-66.959999,720559615002006,72055,Guanica,72,PR,72055961500
262,29232,17.959999,66.949997,81.46,63.64,-66.949997,720559615003051,72055,Guanica,72,PR,72055961500
263,29233,17.959999,66.940002,81.88,63.96,-66.940002,720559615003018,72055,Guanica,72,PR,72055961500
264,29237,17.959999,66.900002,83.59,65.31,-66.900002,720559611001090,72055,Guanica,72,PR,72055961100
265,29238,17.959999,66.889999,84.02,65.65,-66.889999,720559611001089,72055,Guanica,72,PR,72055961100
266,29239,17.959999,66.879997,84.41,65.96,-66.879997,720559611001057,72055,Guanica,72,PR,72055961100
267,29240,17.959999,66.870003,84.76,66.23,-66.870003,720559611001057,72055,Guanica,72,PR,72055961100
268,29241,17.959999,66.860001,85.1,66.5,-66.860001,721537506022019,72153,Yauco,72,PR,72153750602
269,29242,17.959999,66.849998,85.45,66.77,-66.849998,721537506022019,72153,Yauco,72,PR,72153750602
270,29243,17.959999,66.839996,85.79,67.04,-66.839996,720597404001022,72059,Guayanilla,72,PR,72059740400
271,29244,17.959999,66.83000200000001,86.1,67.29,-66.83000200000001,720597404001022,72059,Guayanilla,72,PR,72059740400
272,29245,17.959999,66.82,86.38,67.51,-66.82,720597404001022,72059,Guayanilla,72,PR,72059740400
273,29269,17.959999,66.58000200000001,94.04,76.78,-66.58000200000001,721130723002107,72113,Ponce,72,PR,72113072300
274,29284,17.959999,66.43,105.04,85.08,-66.43,721339535001158,72133,Santa Isabel,72,PR,72133953500
275,29285,17.959999,66.41999799999999,103.74,82.91,-66.41999799999999,721339538003057,72133,Santa Isabel,72,PR,72133953800
276,29286,17.959999,66.410004,102.42,80.16,-66.410004,721339538003087,72133,Santa Isabel,72,PR,72133953800
277,29287,17.959999,66.400002,102.72,80.39,-66.400002,721339536002067,72133,Santa Isabel,72,PR,72133953600
278,29288,17.959999,66.389999,103.24,80.8,-66.389999,721339536002045,72133,Santa Isabel,72,PR,72133953600
279,29289,17.959999,66.379997,103.71,81.17,-66.379997,721339536002043,72133,Santa Isabel,72,PR,72133953600
280,29290,17.959999,66.370003,104.05,81.44,-66.370003,721339536003029,72133,Santa Isabel,72,PR,72133953600
281,29297,17.959999,66.300003,106.72,84.29,-66.300003,721239527003103,72123,Salinas,72,PR,72123952700
282,29298,17.959999,66.290001,107.25,83.97,-66.290001,721239532003017,72123,Salinas,72,PR,72123953200
283,29299,17.959999,66.279999,107.8,84.4,-66.279999,721239532001053,72123,Salinas,72,PR,72123953200
284,29300,17.959999,66.269997,108.16,84.68,-66.269997,721239532001044,72123,Salinas,72,PR,72123953200
285,29301,17.959999,66.260002,108.46,84.93,-66.260002,721239532002013,72123,Salinas,72,PR,72123953200
286,29302,17.959999,66.25,108.57,85.01,-66.25,721239532002011,72123,Salinas,72,PR,72123953200
287,29303,17.959999,66.239998,108.88,85.25,-66.239998,721239532002008,72123,Salinas,72,PR,72123953200
288,29304,17.959999,66.230003,109.5,85.75,-66.230003,721239532002065,72123,Salinas,72,PR,72123953200
289,29308,17.959999,66.190002,112.94,88.46,-66.190002,720572702012004,72057,Guayama,72,PR,72057270201
290,29309,17.959999,66.18,113.64,89.02,-66.18,720572702012036,72057,Guayama,72,PR,72057270201
291,29310,17.959999,66.16999799999999,114.23,89.48,-66.16999799999999,720572707001023,72057,Guayama,72,PR,72057270700
292,29311,17.959999,66.160004,114.72,89.87,-66.160004,720572702022190,72057,Guayama,72,PR,72057270202
293,29312,17.959999,66.150002,115.11,90.17,-66.150002,720572702022191,72057,Guayama,72,PR,72057270202
294,29313,17.959999,66.139999,115.34,90.36,-66.139999,720572702011035,72057,Guayama,72,PR,72057270201
295,29314,17.959999,66.129997,116.22,91.05,-66.129997,720572702011021,72057,Guayama,72,PR,72057270201
296,29315,17.959999,66.120003,117.04,91.7,-66.120003,720572702013079,72057,Guayama,72,PR,72057270201
297,29316,17.959999,66.110001,117.76,92.27,-66.110001,720572702013061,72057,Guayama,72,PR,72057270201
298,29317,17.959999,66.099998,118.4,92.77,-66.099998,720572702013085,72057,Guayama,72,PR,72057270201
299,29321,17.959999,66.059998,120.08,94.1,-66.059998,720152802021000,72015,Arroyo,72,PR,72015280202
300,29322,17.959999,66.050003,120.27,94.25,-66.050003,720152802024028,72015,Arroyo,72,PR,72015280202
301,29323,17.959999,66.040001,120.29,94.27,-66.040001,720152802022065,72015,Arroyo,72,PR,72015280202
302,29647,17.969998999999998,67.209999,74.39,60.32,-67.209999,720239800001019,72023,Cabo Rojo,72,PR,72023980000
303,29648,17.969998999999998,67.199997,73.61,58.74,-67.199997,720239800001019,72023,Cabo Rojo,72,PR,72023980000
304,29649,17.969998999999998,67.190002,73.63,58.46,-67.190002,720238306032012,72023,Cabo Rojo,72,PR,72023830603
305,29650,17.969998999999998,67.18,73.76,58.4,-67.18,720238306032001,72023,Cabo Rojo,72,PR,72023830603
306,29651,17.969998999999998,67.16999799999999,73.98,58.46,-67.16999799999999,720238306033087,72023,Cabo Rojo,72,PR,72023830603
307,29652,17.969998999999998,67.160004,74.24,58.6,-67.160004,720238306033088,72023,Cabo Rojo,72,PR,72023830603
308,29653,17.969998999999998,67.150002,74.52,58.76,-67.150002,720238306033091,72023,Cabo Rojo,72,PR,72023830603
